Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S_Korean melon,S_milk (100ml),steamed black rice,beef daikon soup,tofu dumpling,seasoned napa cabbage,radish kimchi cubes,S_rainbow rice cake,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_oatmeal porridge,#N/A,steamed black rice,zucchini soup,steamed eggs with bacon,seasoned salad with cucumber and soft crab,radish kimchi cubes,S_chilled buckwheat noodles,S_cheese stick,#N/A,#N/A,#N/A,#N/A,#N/A
S_kiwi,S_yoghurt (100ml),steamed white rice,carrot soup,chicken cutlet,cabbage salad in yuzu marinade,radish kimchi cubes,S_sweet potato salad (mayonnaise),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_sweet pumpkin porridge,#N/A,steamed mung bean rice,spinach soy paste soup,roasted pork roll with rice cake,seasoned daikon,napa cabbage kimchi,S_pan-fried corn,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_grape,S_milk (100ml),steamed millet rice,persimmon pine nut soup,stir-fried chicken breast and cabbage,seasoned salad with green bean sprout and salted seaweed powder,napa cabbage kimchi,S_Yaksik (sweet rice with jujube),S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,barbequed pork rice bowl,summer radish soy paste soup,potato yoghurt salad,#N/A,radish kimchi cubes,S_snow white rice cake (80g),S_Omija tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_peach (yellow),#N/A,steamed rice with black beans,mandu (dumpling) soup,roasted Spanish mackerel in marinade sauce,stir-fried oyster mushroom,napa cabbage kimchi,S_stir-fried rice with beef,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_veggie porridge,#N/A,steamed white rice,cuttlefish soup,rolled omelette with salted seaweed,stir-fried anchovy and nuts,radish kimchi cubes,S_soboro bun (streusel-like crusted bread),S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_homestyle banana milk,#N/A,Japanese beef rice bowl (gyudon),zucchini leaf soy paste soup,braised quail eggs in soy sauce,#N/A,napa cabbage kimchi,S_pan-fried deluxe rice,S_green plum tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_dried pollack porridge,#N/A,steamed millet rice,mushroom soup,steamed chicken tenderloin and zucchini,seasoned salad with aubergine in marinade sauce,napa cabbage kimchi,S_soy-based mixed noodles,S_yoghurt (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_plum,#N/A,steamed mung bean rice,fried fish paste soup,stir-fried beef in oyster sauce,seasoned cabbage,radish kimchi cubes,S_sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,stir-fried rice with chicken and paprika,fried tofu soy paste soup,potato yoghurt salad,#N/A,napa cabbage kimchi,S_croissant,S_Omija tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_oatmeal porridge,#N/A,steamed rice with black beans,beef seaweed soup,steamed halibut in marinade sauce,pan-fried chive,napa cabbage kimchi,S_sweet potato shake,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_peach (yellow),#N/A,steamed millet rice,mushroom stew,braised tofu in soy sauce,seasoned sweet potato stem and perilla seed,radish kimchi cubes,S_milk (150ml),S_Korean egg bread with chives,#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,steamed rice with black soy pork,dried pollack soup,stir-fried quail eggs and paprika,#N/A,radish kimchi cubes,S_French toast,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_cherry tomato,S_cheese,steamed rice with black beans,egg soup,stir-fried cuttlefish and vegetables,parboiled broccoli (perilla seed sauce),napa cabbage kimchi,S_rice ball with fried tofu and spring parsley,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_tofu vegetable porridge,#N/A,steamed millet rice,potato onion soup,stir-fried chicken in soy sauce without bones,seasoned zucchini,napa cabbage kimchi,S_pounded rice cake,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_banana,#N/A,beef rice bowl with stir-fried vegetables,summer radish soy paste soup,stir-fried vegetables and fried fish paste,#N/A,napa cabbage kimchi,S_fried mandu (dumpling),S_yoghurt (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_black sesame porridge,#N/A,steamed millet rice,mushroom beef soup,steamed eggs with vegetables,seasoned chard,radish kimchi cubes,S_milk (100ml),S_muffin,#N/A,#N/A,#N/A,#N/A,#N/A
S_milk with misugaru (mixed grain powder),#N/A,steamed black rice,mild kimchi stew,pan-fried pollack,seasoned cucumber,white kimchi,S_fruit punch,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,steamed white rice (add),udon (white wheat noodles) with fried fish paste,deep-fried shrimp,#N/A,napa cabbage kimchi,S_steamed corn,S_green plum tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_watermelon,S_yoghurt (100ml),steamed sweet brown rice,soft tofu stew,stir-fried chicken breast and chives,seasoned salad with green bean sprout and salted seaweed powder,radish kimchi cubes,S_mixed noodles with cucumber,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_beef veggie porridge,#N/A,steamed millet rice,fried fish paste soup,stir-fried pork,seasoned spinach,napa cabbage kimchi,S_mixed noodles with cucumber,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_nuts,S_milk (150ml),curried rice with pork,bean sprout soup,scrambled eggs with cheese,#N/A,napa cabbage kimchi,S_anchovy rice ball,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_broccoli porridge,#N/A,steamed sweet millet rice,seaweed soy paste soup,barbequed beef,pan-fried shredded potato,napa cabbage kimchi,S_steamed potato,S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_melon,S_yoghurt (100ml),steamed white rice,chicken bone soup,seasoned salad with overripe cucumber,stir-fried anchovy,radish kimchi cubes,S_half-moon rice cake,S_green plum tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,Bibimbap with tuna and vagitable,miso paste soup,steamed mandu (dumpling),#N/A,napa cabbage kimchi,S_bread roll,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_Korean melon,S_milk (100ml),steamed black rice,beef daikon soup,stir-fried tofu and kimchi,seasoned salad with summer radish in soy paste,radish kimchi cubes,S_udon (white wheat noodles) with stir-fried seafood,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_seaweed porridge,#N/A,steamed black rice,zucchini soup,roasted smoked duck and stir-fried vegetables,braised kidney beans,radish kimchi cubes,S_Yaksik (sweet rice with jujube),S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_kiwi,S_yoghurt (100ml),steamed white rice,cream soup,chicken cutlet,cabbage salad in yuzu marinade,radish kimchi cubes,S_burdock rice ball,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_sweet pumpkin porridge,#N/A,steamed mung bean rice,spinach soy paste soup,roasted pork roll with rice cake,seasoned salad with bean sprout,napa cabbage kimchi,S_choux pastry,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_grape,#N/A,steamed millet rice,persimmon pine nut soup,stir-fried beef and cucumber,soft tofu + marinade sauce,napa cabbage kimchi,S_fermented rice cake,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,barbequed pork rice bowl,summer radish soy paste soup,potato yoghurt salad,#N/A,radish kimchi cubes,S_snow white rice cake (80g),S_Omija tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_chicken porridge,#N/A,steamed rice with black beans,potato seaweed soup,steamed halibut in marinade sauce,pan-fried chive,napa cabbage kimchi,S_muffin,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_peach (yellow),#N/A,steamed millet rice,mushroom stew,braised tofu in soy sauce,seasoned sweet potato stem and perilla seed,radish kimchi cubes,S_fermented rice cake,S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,steamed rice with black soy pork,dried pollack soup,stir-fried quail eggs and paprika,#N/A,radish kimchi cubes,S_French toast,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_cherry tomato,S_cheese,steamed rice with black beans,egg soup,stir-fried cuttlefish and vegetables,parboiled broccoli (perilla seed sauce),napa cabbage kimchi,S_pounded rice cake,S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_tofu vegetable porridge,#N/A,steamed millet rice,potato onion soup,stir-fried chicken in soy sauce without bones,seasoned zucchini,napa cabbage kimchi,S_royal-style tteokbokki (stir-fried rice cake),S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_banana,#N/A,beef rice bowl with stir-fried vegetables,summer radish soy paste soup,corn salad (olive oil dressing),#N/A,napa cabbage kimchi,S_rice ball with fried tofu and spring parsley,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_black sesame porridge,#N/A,steamed millet rice,pork soy paste soup,steamed eggs with vegetables,seasoned chard,radish kimchi cubes,S_Korean egg bread with chives,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_milk with misugaru (mixed grain powder),#N/A,steamed black rice,mild kimchi stew,pan-fried pollack,seasoned cucumber,white kimchi,S_deep-fried shrimp,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,steamed white rice (add),stir-fried seafood udon (white wheat noodles),S_fruit punch,#N/A,napa cabbage kimchi,S_Korean melon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_watermelon,#N/A,steamed sweet brown rice,chard soy paste soup,stir-fried chicken breast and chives,deep-fried aubergine,radish kimchi cubes,S_pizza bread,S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_beef veggie porridge,S_milk (100ml),steamed millet rice,soft tofu soup (mild flavor),steamed pork,braised burdock slices,napa cabbage kimchi,S_mixed noodles with cucumber,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_nuts,S_milk (150ml),curried rice with pork,miso paste soup,scrambled eggs with cheese,#N/A,napa cabbage kimchi,S_anchovy rice ball,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_broccoli porridge,#N/A,steamed sweet millet rice,seaweed soup,stir-fried beef with perilla leaves,soft tofu + black sesame sauce,radish kimchi cubes,S_steamed potato,S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_melon,S_yoghurt (100ml),steamed white rice,chicken bone soup,pan-fried shrimp and vegetables,seasoned salad with overripe cucumber,radish kimchi cubes,S_steamed rice cake with mugwort,S_green plum tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,Bibimbap with tuna and vagitable,bean sprout soup,S_mini hot dog,#N/A,napa cabbage kimchi,S_bread roll,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_Korean melon,S_milk (100ml),steamed black rice,beef daikon soup,tofu dumpling,seasoned napa cabbage,radish kimchi cubes,S_rainbow rice cake,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_oatmeal porridge,#N/A,steamed black rice,zucchini soup,steamed eggs with bacon,seasoned salad with cucumber and soft crab,radish kimchi cubes,S_Yaksik (sweet rice with jujube),S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_kiwi,S_yoghurt (100ml),steamed white rice,carrot soup,chicken cutlet,cabbage salad in yuzu marinade,radish kimchi cubes,S_steamed corn,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_sweet pumpkin porridge,#N/A,steamed mung bean rice,spinach soy paste soup,roasted pork roll with rice cake,daikon salad,napa cabbage kimchi,S_sweet potato salad (mayonnaise),S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_grape,#N/A,steamed millet rice,persimmon pine nut soup,stir-fried beef and cucumber,seasoned salad with green bean sprout and salted seaweed powder,napa cabbage kimchi,S_choux pastry,S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,barbequed pork rice bowl,summer radish soy paste soup,potato yoghurt salad,#N/A,radish kimchi cubes,S_snow white rice cake (80g),S_Omija tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_peach (yellow),#N/A,steamed rice with black beans,chicken vegetables soup,roasted Spanish mackerel in marinade sauce,seasoned oyster mushroom,napa cabbage kimchi,S_soboro bun (streusel-like crusted bread),S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_veggie porridge,#N/A,steamed white rice,zucchini leaf soy paste soup,braised pork in soy sauce with quail eggs,stir-fried anchovy and nuts,radish kimchi cubes,S_watermelon punch,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_apple,S_pear,stir-fried rice with seafood,tofu salted shrimp soup or stew,rolled omelette with salted seaweed,#N/A,napa cabbage kimchi,S_mini-Gimbap (rice roll),S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_dried pollack porridge,#N/A,steamed millet rice,mushroom soup,steamed chicken tenderloin and zucchini,seasoned salad with aubergine in marinade sauce,radish kimchi cubes,S_cream sauce spaghetti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_plum,#N/A,steamed mung bean rice,fried fish paste soup,stir-fried beef in oyster sauce,seasoned cabbage,radish kimchi cubes,S_croissant,S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,stir-fried rice with chicken and paprika,fried tofu soy paste soup,steamed mandu (dumpling),#N/A,napa cabbage kimchi,S_sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,steamed rice with black soy pork,dried pollack soup,stir-fried quail eggs and paprika,#N/A,radish kimchi cubes,S_barley tea,S_French toast,#N/A,#N/A,#N/A,#N/A,#N/A
S_cherry tomato,S_cheese,steamed rice with black beans,egg soup,stir-fried cuttlefish and vegetables,parboiled broccoli (perilla seed sauce),napa cabbage kimchi,S_rice ball with fried tofu and spring parsley,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_tofu vegetable porridge,#N/A,steamed millet rice,potato onion soup,stir-fried chicken in soy sauce without bones,seasoned zucchini,napa cabbage kimchi,S_milk (150ml),S_sandwich,#N/A,#N/A,#N/A,#N/A,#N/A
S_homestyle banana milk,#N/A,beef rice bowl with stir-fried vegetables,fried tofu soup,corn salad (olive oil dressing),#N/A,napa cabbage kimchi,S_royal-style tteokbokki (stir-fried rice cake),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_black sesame porridge,#N/A,steamed millet rice,pork soy paste soup,steamed eggs with vegetables,seasoned chard,radish kimchi cubes,S_milk (100ml),S_tomato spaghetti,#N/A,#N/A,#N/A,#N/A,#N/A
S_Korean melon,S_milk (100ml),steamed black rice,mild kimchi stew,pan-fried pollack,seasoned cucumber,radish kimchi cubes,S_deep-fried shrimp,S_green plum tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,steamed white rice (add),stir-fried seafood udon (white wheat noodles),seasoned salad with cucumber and soft crab,#N/A,napa cabbage kimchi,S_fruit punch,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_watermelon,S_yoghurt (100ml),steamed sweet brown rice,summer radish soy paste soup,stir-fried chicken breast and chives,deep-fried aubergine,radish kimchi cubes,S_mixed noodles with cucumber,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_beef veggie porridge,#N/A,steamed millet rice,soft tofu soup (mild flavor),stir-fried pork,seasoned oyster mushroom,napa cabbage kimchi,S_steamed potato,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_nuts,S_milk (150ml),curried rice with pork,miso paste soup,scrambled eggs with cheese,#N/A,napa cabbage kimchi,S_anchovy rice ball,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_broccoli porridge,#N/A,steamed sweet millet rice,winter mushroom soup,stir-fried beef with perilla leaves,soft tofu + marinade sauce,napa cabbage kimchi,S_pan-fried corn,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_melon,#N/A,steamed white rice,chicken bone soup,pan-fried shrimp and vegetables,braised potato,radish kimchi cubes,S_milk (100ml),S_pizza bread,#N/A,#N/A,#N/A,#N/A,#N/A
S_Korean melon,#N/A,steamed black rice,beef daikon soup,mild Mapa tofu,seasoned napa cabbage,radish kimchi cubes,S_Yaksik (sweet rice with jujube),S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_kimchi cheese  porridge,#N/A,steamed millet rice,zucchini soup,stir-fried chicken breast and cabbage,braised kidney beans,radish kimchi cubes,S_choux pastry,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_steamed sweet potato (80g),S_Omija tea,steamed white rice,carrot soup,fish cutlet + tartar sauce,_sweet pumpkin honey steam,radish kimchi cubes,S_kiwi,S_yoghurt (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_sweet pumpkin porridge,#N/A,steamed mung bean rice,spinach soy paste soup,roasted pork roll with rice cake,stir-fried mini-Saesongyi mushroom,napa cabbage kimchi,S_pancake,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_grape,#N/A,steamed millet rice,persimmon pine nut soup,pan-fried vegetables with tuna,seasoned salad with soft crab and bean sprout,napa cabbage kimchi,S_snow white rice cake (80g),S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_nectarine,#N/A,steamed rice with black beans,tofu salted shrimp soup or stew,roasted Spanish mackerel in marinade sauce,seasoned oyster mushroom,napa cabbage kimchi,S_soboro bun (streusel-like crusted bread),S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_dried pollack porridge,#N/A,steamed white rice,rice cake mandu (dumpling) soup,stir-fried anchovy and nuts,seasoned cucumber,radish kimchi cubes,S_watermelon,S_yoghurt (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_apple,S_pear,stir-fried rice with seafood,zucchini leaf soy paste soup,rolled omelette with vegetables,#N/A,napa cabbage kimchi,S_cheese mini-Gimbap (rice roll),S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_dried pollack porridge,#N/A,steamed millet rice,mushroom soup,steamed chicken tenderloin and zucchini,seasoned salad with aubergine in marinade sauce,napa cabbage kimchi,S_cream sauce spaghetti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_plum,#N/A,steamed mung bean rice,cuttlefish soup,braised pork in soy sauce with quail eggs,seasoned cabbage,radish kimchi cubes,S_croissant,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,hashed rice,fried tofu soy paste soup,S_mini hot dog,#N/A,napa cabbage kimchi,S_barley tea,S_steamed sweet potato (80g),#N/A,#N/A,#N/A,#N/A,#N/A
S_cherry tomato,S_cheese,steamed rice with black beans,egg soup,stir-fried cuttlefish and vegetables,parboiled broccoli (perilla seed sauce),napa cabbage kimchi,S_pounded rice cake,S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_tofu vegetable porridge,#N/A,steamed millet rice,potato onion soup,stir-fried chicken in soy sauce without bones,seasoned zucchini,napa cabbage kimchi,S_royal-style tteokbokki (stir-fried rice cake),S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_peach (yellow),#N/A,steamed rice with black beans,chicken vegetables soup,roasted Spanish mackerel in marinade sauce,seasoned oyster mushroom,napa cabbage kimchi,S_soboro bun (streusel-like crusted bread),S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_veggie porridge,#N/A,steamed white rice,zucchini leaf soy paste soup,braised pork in soy sauce with quail eggs,stir-fried anchovy and nuts,radish kimchi cubes,S_watermelon punch,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_apple,S_pear,stir-fried rice with seafood,tofu salted shrimp soup or stew,rolled omelette with salted seaweed,#N/A,napa cabbage kimchi,S_mini-Gimbap (rice roll),S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_dried pollack porridge,#N/A,steamed millet rice,mushroom soup,steamed chicken tenderloin and zucchini,seasoned salad with aubergine in marinade sauce,radish kimchi cubes,S_cream sauce spaghetti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_plum,#N/A,steamed mung bean rice,fried fish paste soup,stir-fried beef in oyster sauce,seasoned cabbage,radish kimchi cubes,S_croissant,S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,stir-fried rice with chicken and paprika,fried tofu soy paste soup,steamed mandu (dumpling),#N/A,napa cabbage kimchi,S_sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_Korean melon,S_milk (100ml),steamed black rice,beef daikon soup,tofu dumpling,seasoned napa cabbage,radish kimchi cubes,S_rainbow rice cake,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_kimchi cheese  porridge,S_milk (100ml),steamed black rice,zucchini soup,steamed eggs with bacon,seasoned salad with cucumber and soft crab,radish kimchi cubes,S_chilled buckwheat noodles,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_kiwi,S_yoghurt (100ml),steamed white rice,carrot soup,chicken cutlet,cabbage salad in yuzu marinade,radish kimchi cubes,S_steamed corn,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_sweet pumpkin porridge,#N/A,steamed mung bean rice,spinach soy paste soup,roasted pork roll with rice cake,daikon salad,napa cabbage kimchi,S_sweet potato salad (mayonnaise),S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_grape,#N/A,steamed millet rice,persimmon pine nut soup,stir-fried chicken breast and cabbage,seasoned salad with green bean sprout and salted seaweed powder,radish kimchi cubes,S_milk (150ml),S_soboro bun (streusel-like crusted bread),#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,barbequed pork rice bowl,summer radish soy paste soup,potato yoghurt salad,#N/A,radish kimchi cubes,S_snow white rice cake (80g),S_Omija tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_peach (yellow),#N/A,steamed rice with black beans,mushroom soup,roasted Spanish mackerel in marinade sauce,stir-fried anchovy and nuts,napa cabbage kimchi,S_Yaksik (sweet rice with jujube),S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_veggie porridge,#N/A,steamed white rice,tofu salted shrimp soup or stew,braised pork in soy sauce with quail eggs,stir-fried oyster mushroom,radish kimchi cubes,S_watermelon punch,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_apple,S_pear,stir-fried rice with seafood,bean sprout kimchi soup,rolled omelette with salted seaweed,#N/A,napa cabbage kimchi,S_cheese mini-Gimbap (rice roll),S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_dried pollack porridge,#N/A,steamed millet rice,chicken vegetables soup,braised tofu in marinade sauce,seasoned salad with aubergine,napa cabbage kimchi,S_cream sauce spaghetti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S_plum,#N/A,steamed mung bean rice,fried fish paste soup,stir-fried beef in oyster sauce,seasoned cabbage,radish kimchi cubes,S_croissant,S_milk (150ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_milk (200ml),#N/A,stir-fried rice with chicken and paprika,fried tofu soy paste soup,S_mini hot dog,#N/A,napa cabbage kimchi,S_sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_sweet potato porridge,#N/A,steamed rice with black beans,potato seaweed soup,steamed beef rib,seasoned zucchini,napa cabbage kimchi,S_cake,S_milk (150ml),steamed black rice,fried tofu soy paste soup,stir-fried pork with perilla leaves,seasoned salad with bean sprout,napa cabbage kimchi
S_beef porridge,#N/A,steamed white rice,ox bone rice cake soup,stir-fried tofu and vegetables,braised lotus root,napa cabbage kimchi,S_scrambled eggs,S_milk (150ml),steamed millet rice,spinach soy paste soup,braised chicken and sweet pumpkin,stir-fried dried pollack,napa cabbage kimchi
S_pollack porridge,#N/A,hashed rice,daikon soup,deep-fried shrimp,#N/A,napa cabbage kimchi,S_steamed potato,S_barley tea,steamed white rice,bean sprout soup,stir-fried beef and cabbage,braised burdock slices,radish kimchi cubes
S_sweet potato porridge,#N/A,steamed black rice,zucchini soy paste soup,braised chicken in teriyaki sauce,seasoned salad with acorn jelly in soy sauce,napa cabbage kimchi,S_pizza bread,S_barley tea,steamed rice with black beans,tofu kimchi soup,grilled Spanish mackerel in yuzu marinade,braised potato,radish kimchi cubes
S_soft tofu porridge,#N/A,steamed sweet millet rice,mussel soup,stir-fried pork,fresh kimchi with chicory,radish kimchi cubes,S_fermented rice cake,S_barley tea,steamed millet rice,egg soup,grilled halibut,seasoned daikon,napa cabbage kimchi
S_milk (200ml),#N/A,stir-fried rice with eggs and vegetables,#N/A,Neobiani,S_tangerine,napa cabbage kimchi,S_sponge cake,S_barley tea,steamed white rice,chicken stew,pan-fried meat dumpling,seasoned zucchini,napa cabbage kimchi
S_egg veggie porridge,#N/A,steamed black rice,chard soy paste soup,stir-fried chicken breast with perilla leaves,seasoned green bean sprout,napa cabbage kimchi,S_anchovy rice ball,S_barley tea,steamed millet rice,fried fish paste soup,roasted pork and vegetables,seasoned salad with lettuce and crown daisy,radish kimchi cubes
S_shirimp vegetable porridge,#N/A,steamed sweet millet rice,dried pollack soup,stir-fried beef and vegetables,stir-fried oyster mushroom,napa cabbage kimchi,S_fried sweet pumpkin,S_milk (150ml),steamed rice with black beans,seaweed soup,stir-fried chicken breast and green bean sprout,seasoned chard,napa cabbage kimchi
S_kimchi cheese  porridge,#N/A,Mapa tofu rice bowl,perilla seed soup with dried radish leaf,grilled dried white bait,#N/A,napa cabbage kimchi,S_grilled rice cake,S_milk (150ml),steamed white rice,mushroom soy paste soup,stir-fried shrimp in ketchup,seasoned thistle,napa cabbage kimchi
S_bean sprout porridge,#N/A,steamed millet rice,winter cabbage soy paste soup,steamed pollack in marinade sauce,seasoned salad with broccoli in black sesame sauce,radish kimchi cubes,S_mini-mandu (dumpling),S_barley tea,steamed sweet millet rice,clam soup,stir-fried beef in oyster sauce,seasoned winter celery,napa cabbage kimchi
S_chive soy paste porridge,#N/A,steamed millet rice,tofu soup,braised quail eggs in soy sauce,seasoned cucumber,radish kimchi cubes,S_pan-fried sea lettuce,S_barley tea,steamed white rice,bean sprout soup,grilled mackerel,stir-fried muchroom,napa cabbage kimchi
S_milk (200ml),#N/A,meat ball spaghetti,#N/A,lettuce salad (oriental dressing),S_yoghurt (100ml),radish kimchi cubes,S_doughnut,S_barley tea,steamed black rice,mandu (dumpling) soup,stir-fried pork and broccoli,seasoned winter cabbage,radish kimchi cubes
S_sweet pumpkin porridge,#N/A,steamed white rice,oyster soup,barbequed beef,seasoned daikon,napa cabbage kimchi,S_mini-Gimbap (rice roll),S_barley tea,steamed millet rice,soy puree stew,fried eggs with ham,seasoned salad with cucumber and apple,napa cabbage kimchi
S_chicken porridge,#N/A,steamed millet rice,tuna kimchi stew,grilled tofu in marinade sauce,seasoned zucchini,radish kimchi cubes,S_fried sweet potato,S_milk (150ml),steamed black rice,daikon soup,stir-fried beef and mushroom,braised lotus root,napa cabbage kimchi
S_seaweed porridge,#N/A,pork rice bowl with stir-fried vegetables,freshwater snail soy paste soup,#N/A,deep-fried vegetables,radish kimchi cubes,S_fried fish paste soup,#N/A,steamed white rice,bokchoy soup,stir-fried chicken breast and paprika,pan-fried vegetables with tuna,radish kimchi cubes
