Breakfast1,Breakfast2,Breakfast3,Breakfast4,Breakfast5,Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5,Score
steamed sweet rice,mandu (dumpling) chicken stew,braised burdock slices and konjac,barbequed beef and burdock,summer radish kimchi,S_aglio e olio spaghetti,S_homestyle banana milk,pork cabbage rice bowl,seaweed mandu (dumpling) soup,seasoned salad with cucumber,empty,radish watery kimchi,S_rice-based beverage,S_raisin potato bowl,steamed chestnut bean rice (30),tofu stew,steamed aubergine in marinade sauce,empty,summer radish watery kimchi,1
steamed chestnut bean rice (30),mandu (dumpling) chicken stew,barbequed beef and burdock,empty,radish watery kimchi,S_aglio e olio spaghetti,S_rice-based beverage,pork cabbage rice bowl,seaweed mandu (dumpling) soup,steamed aubergine in marinade sauce,seasoned salad with cucumber,summer radish kimchi,S_raisin potato bowl,S_homestyle banana milk,steamed sweet rice,tofu stew,braised burdock slices and konjac,empty,summer radish watery kimchi,2
steamed chestnut bean rice,seaweed soup,barbequed beef and burdock,seasoned salad with wild chive,radish watery kimchi,S_aglio e olio spaghetti,S_orange juice,pork cabbage rice bowl,seaweed soup,stir-fried dried pollack and almond,seasoned salad with cucumber,pickled beet,S_raisin potato bowl,S_homestyle banana milk,steamed sweet rice,tofu stew,braised burdock slices and konjac,seasoned salad with kohlrabi and apple,summer radish watery kimchi,5
steamed white bean rice,veggie soup,roasted potato with butter,seasoned winter cabbage,radish kimchi cubes,S_sweet potato salad (mayonnaise),S_homestyle blueberry milk,steamed millet rice (30),bone soup,pan-fried seafood and kimchi,seasoned salad with winter celery in vinegar marinade,winter cabbage kimchi,S_black sesame soy milk (150ml),S_carrot seaweed flake porridge,steamed white rice (add),spicy zucchini soup,seasoned salad with chwinamul in soy paste,tofu tuna salad (yuzu dressing),whole radish kimchi,1
steamed white rice (add),veggie soup,seasoned salad with winter celery in vinegar marinade,seasoned salad with chwinamul in soy paste,winter cabbage kimchi,S_carrot seaweed flake porridge,S_black sesame soy milk (150ml),steamed white bean rice,bone soup,pan-fried seafood and kimchi,seasoned winter cabbage,radish kimchi cubes,S_sweet potato salad (mayonnaise),S_homestyle blueberry milk,steamed millet rice (30),spicy zucchini soup,tofu tuna salad (yuzu dressing),roasted potato with butter,whole radish kimchi,2
steamed white rice (add),veggie soup,scrambled eggs,tomato mash,pickled beet,S_carrot seaweed flake porridge,S_black sesame soy milk (150ml),steamed mung bean rice,bone soup,pan-fried seafood and kimchi,seasoned winter cabbage,sweet radish kimchi,S_sweet potato salad (mayonnaise),S_milk (200ml),steamed mixed-grain rice,spicy zucchini soup,tofu tuna salad (yuzu dressing),seasoned salad with grilled aubergine,radish watery kimchi,5
steamed sweet rice (add),kimchi tofu stew,stir-fried zucchini and dried shrimp,seasoned salad with sweet potato stem in soy paste,cucumber kimchi,S_rice-based beverage,S_soft tofu salad (oriental dressing),stir-fried rice with broccoli and vegetables,mandu (dumpling) soup,vegetables croquette,seasoned winter mushroom and chive,summer radish watery kimchi,S_tofu vegetable porridge,S_homestyle banana milk,steamed red bean rice (30),assorted mushroom stew,steamed octopus with rice cake,dried radish,kohlrabi watery kimchi,2
steamed red bean rice (30),kimchi tofu stew,stir-fried zucchini and dried shrimp,seasoned salad with sweet potato stem in soy paste,summer radish watery kimchi,S_tofu vegetable porridge,S_rice-based beverage,stir-fried rice with broccoli and vegetables,assorted mushroom stew,vegetables croquette,dried radish,cucumber kimchi,S_soft tofu salad (oriental dressing),S_homestyle banana milk,steamed sweet rice (add),mandu (dumpling) soup,steamed octopus with rice cake,seasoned winter mushroom and chive,kohlrabi watery kimchi,3
steamed red bean rice (30),kimchi tofu stew,stir-fried zucchini and dried shrimp,seasoned salad with sweet potato stem in soy paste,summer radish watery kimchi,S_tofu vegetable porridge,S_rice-based beverage,stir-fried rice with broccoli and vegetables,clam soup,vegetables croquette,stir-fried paprika,cucumber kimchi,S_soft tofu salad (oriental dressing),S_homestyle banana milk,steamed sweet rice,mandu (dumpling) soup,steamed octopus with rice cake,seasoned winter mushroom and chive,kohlrabi watery kimchi,5
steamed millet rice (30),clam sea lettuce soup,seasoned oyster mushroom,pan-fried beef and Maesaengyi,radish watery kimchi,S_sweet potato shake,S_sesame sweet potato porridge,steamed corn rice,mushroom stew,pan-fried vegetables with lotus root,braised pollack in sweet soy sauce,radish kimchi cubes,S_raisin potato bowl,S_barley tea,curried rice with pork,veggie soup,braised spicy chicken without bones,braised Korean kebab in soy sauce,summer radish kimchi,1
steamed millet rice (30),veggie soup,pan-fried beef and Maesaengyi,seasoned oyster mushroom,radish watery kimchi,S_sesame sweet potato porridge,S_barley tea,steamed corn rice,clam sea lettuce soup,braised pollack in sweet soy sauce,braised Korean kebab in soy sauce,summer radish kimchi,S_raisin potato bowl,S_sweet potato shake,curried rice with pork,mushroom stew,braised spicy chicken without bones,pan-fried vegetables with lotus root,radish kimchi cubes,2
steamed millet rice (30),veggie soup,pan-fried beef and Maesaengyi,seasoned oyster mushroom,pickled beet,S_sesame sweet potato porridge,S_barley tea,steamed corn rice,clam sea lettuce soup,braised pollack in sweet soy sauce,seasoned green bean sprout and winter celery,summer radish kimchi,S_raisin potato bowl,S_sweet potato shake,curried rice with pork,tofu soy paste soup,braised spicy chicken without bones,pan-fried vegetables with lotus root,radish kimchi cubes,5
steamed mixed-grain rice (30),oyster mushroom soup,seasoned salad with aubergine in marinade sauce,seasoned salad with perilla leaves in vinegar marinade,radish watery kimchi,S_peach walnut smoothie,S_rice-based beverage,Bibimbap with summer radish,mandu (dumpling) chicken stew,salted sea lettuce,seasoned salad with dried cuttlefish and dried radish,pickled beet,S_soft tofu salad (oriental dressing),S_pan-fried vegetables,steamed brown sweet rice,seaweed mandu (dumpling) soup,daikon and pear salad,braised burdock slices and konjac,summer radish watery kimchi,1
steamed mixed-grain rice (30),seaweed mandu (dumpling) soup,braised burdock slices and konjac,daikon and pear salad,pickled beet,S_peach walnut smoothie,S_rice-based beverage,Bibimbap with summer radish,oyster mushroom soup,seasoned salad with dried cuttlefish and dried radish,seasoned salad with perilla leaves in vinegar marinade,radish watery kimchi,S_soft tofu salad (oriental dressing),S_pan-fried vegetables,steamed brown sweet rice,mandu (dumpling) chicken stew,seasoned salad with aubergine in marinade sauce,salted sea lettuce,summer radish watery kimchi,2
steamed mixed-grain rice (30),mandu (dumpling) soup,braised burdock slices and konjac,daikon and pear salad,radish watery kimchi,S_peach walnut smoothie,empty,Bibimbap with summer radish,oyster mushroom soup,seasoned salad with dried cuttlefish and dried radish,seasoned salad with perilla leaves in vinegar marinade,sweet radish kimchi,S_nuts,S_apple,steamed sweet rice (add),seafood noodle soup,roasted chicken,salted sea lettuce,pickled beet,5
paprika rice ball with fried tofu,shrimp daikon soup,stir-fried burdock and glass noodles,fresh kimchi with lettuce and wild chive,radish watery kimchi,S_homestyle banana milk,S_Fusilli salad,steamed sweet rice (add),assorted mushroom stew,stir-fried zucchini and carrot,stir-fried zucchini with bean powder,mustard leaf kimchi,S_sesame veggie porridge,S_orange juice,steamed mung bean rice (30),ox bone soup with glass noodles,stir-fried vegetables and Neobiani,stir-fried seafood and vegetables,kohlrabi watery kimchi,1
steamed mung bean rice (30),assorted mushroom stew,stir-fried zucchini with bean powder,stir-fried burdock and glass noodles,radish watery kimchi,S_sesame veggie porridge,S_orange juice,paprika rice ball with fried tofu,shrimp daikon soup,stir-fried vegetables and Neobiani,stir-fried zucchini and carrot,kohlrabi watery kimchi,S_Fusilli salad,S_homestyle banana milk,steamed sweet rice (add),ox bone soup with glass noodles,stir-fried seafood and vegetables,fresh kimchi with lettuce and wild chive,mustard leaf kimchi,2
steamed mung bean rice,assorted mushroom stew,rolled omelette with vegetables,stir-fried burdock and glass noodles,radish watery kimchi,S_sesame veggie porridge,S_orange juice,paprika rice ball with fried tofu,shrimp daikon soup,stir-fried vegetables and Neobiani,stir-fried zucchini,kohlrabi watery kimchi,S_homestyle blueberry banana milk,empty,steamed sweet rice,ox bone soup with glass noodles,stir-fried seafood and vegetables,fresh kimchi with lettuce and wild chive,mustard leaf kimchi,5
steamed sweet potato rice (40),wild chive soy paste soup,seasoned oyster mushroom,seasoned salad with lettuce and apple in vinegar marinade,radish kimchi cubes,S_seafood porridge,S_homestyle blueberry banana milk,steamed sweet barley rice,mussel soup,pan-fried potato and lotus root,stir-fried mushroom and vegetables,winter cabbage kimchi,S_sweet pumpkin salad (mayonnaise),S_rice-based beverage,curried rice with beef,shrimp soup,stir-fried shrimp in ketchup,seasoned salad with crown daisy and tofu,radish watery kimchi,1
steamed sweet potato rice (40),shrimp soup,seasoned salad with crown daisy and tofu,seasoned oyster mushroom,radish watery kimchi,S_seafood porridge,S_rice-based beverage,steamed sweet barley rice,mussel soup,pan-fried potato and lotus root,stir-fried mushroom and vegetables,winter cabbage kimchi,S_sweet pumpkin salad (mayonnaise),S_homestyle blueberry banana milk,curried rice with beef,wild chive soy paste soup,stir-fried shrimp in ketchup,seasoned salad with lettuce and apple in vinegar marinade,radish kimchi cubes,2
steamed sweet potato rice,napa cabbage soup,seasoned salad with crown daisy and tofu,seasoned oyster mushroom,radish watery kimchi,S_seafood porridge,S_green plum tea,steamed sweet barley rice,mussel soup,steamed chicken,stir-fried mushroom and vegetables,winter cabbage kimchi,S_sweet pumpkin salad (mayonnaise),S_homestyle blueberry banana milk,curried rice with beef,wild chive soy paste soup,stir-fried shrimp in ketchup,seasoned salad with lettuce and apple in vinegar marinade,radish kimchi cubes,5
steamed corn rice (30),mandu (dumpling) soft tofu stew,steamed fish and zucchini,seasoned salad with cabbage in yuzu marinade,whole radish kimchi,S_tomato juice,S_soft tofu salad (oriental dressing),steamed chestnut bean rice,perilla seed soup,seasoned salad with broccoli shrimp and sesame,stir-fried oyster mushroom and carrot,summer radish kimchi,S_cheese soft crab porridge,S_homestyle banana milk,Japanese beef rice bowl (gyudon),oyster mushroom soup,braised burdock slices and konjac,seasoned salad with bellflower root,kohlrabi watery kimchi,1
steamed corn rice (30),perilla seed soup,braised burdock slices and konjac,stir-fried oyster mushroom and carrot,whole radish kimchi,S_cheese soft crab porridge,S_soft tofu salad (oriental dressing),steamed chestnut bean rice,mandu (dumpling) soft tofu stew,steamed fish and zucchini,seasoned salad with bellflower root,summer radish kimchi,S_homestyle banana milk,S_tomato juice,Japanese beef rice bowl (gyudon),oyster mushroom soup,seasoned salad with broccoli shrimp and sesame,seasoned salad with cabbage in yuzu marinade,kohlrabi watery kimchi,2
steamed corn rice,wild chive soup,rolled omelette with cheese,stir-fried oyster mushroom and carrot,whole radish kimchi,S_jam sandwich,S_tomato shake,steamed chestnut bean rice,mandu (dumpling) soft tofu stew,steamed fish and zucchini,lettuce and daikon salad,summer radish kimchi,S_homestyle blueberry banana milk,S_nuts,Japanese beef rice bowl (gyudon),kimchi soup,braised shrimp and lotus root,seasoned salad with cabbage in yuzu marinade,pickled beet,5
steamed red bean rice (30),octopus soup,seasoned salad with shepherd's purse,seasoned oyster mushroom,summer radish watery kimchi,S_beef burdock porridge,S_milk (100ml),steamed sweet rice (add),mini-ball rice cake seaweed soup,lotus root and black sesame salad,empty,radish watery kimchi,S_rice-based beverage,S_Korean melon salad,rice bowl with beef and aubergine,red bean porridge,stir-fried zucchini and dried shrimp,empty,sweet radish kimchi,1
steamed red bean rice (30),mini-ball rice cake seaweed soup,stir-fried zucchini and dried shrimp,seasoned salad with shepherd's purse,summer radish watery kimchi,S_beef burdock porridge,S_milk (100ml),steamed sweet rice (add),octopus soup,seasoned oyster mushroom,empty,sweet radish kimchi,S_rice-based beverage,S_Korean melon salad,rice bowl with beef and aubergine,red bean porridge,lotus root and black sesame salad,empty,radish watery kimchi,1
steamed red bean rice (30),Maesaengyi rice cake soup,stir-fried zucchini and dried shrimp,seasoned salad with shepherd's purse,summer radish kimchi,S_Fusilli salad,empty,steamed sweet rice,octopus soup,stir-fried pork and garlic stem,fresh kimchi with chicory,sweet radish kimchi,S_soboro bun (streusel-like crusted bread),S_milk (200ml),rice bowl with beef and aubergine,soy paste soup,grilled salmon,cabbage salad in yuzu marinade,radish watery kimchi,5
steamed sweet barley rice (30),mushroom stew,braised sweet potato,spring parsley and tomato salad,whole radish kimchi,deluxe rice ball,S_barley tea,chicken-mayo rice bowl,fried tofu winter mushroom soup,scrambled eggs,dried radish,summer radish kimchi,S_homestyle banana milk,S_raisin potato bowl,steamed corn rice,kimchi onion soup,parboiled broccoli (perilla seed sauce),seasoned salad with winter cabbage,radish watery kimchi,1
steamed sweet barley rice (30),mushroom stew,parboiled broccoli (perilla seed sauce),seasoned salad with winter cabbage,whole radish kimchi,deluxe rice ball,S_barley tea,chicken-mayo rice bowl,fried tofu winter mushroom soup,scrambled eggs,dried radish,summer radish kimchi,S_homestyle banana milk,S_raisin potato bowl,steamed corn rice,kimchi onion soup,spring parsley and tomato salad,braised sweet potato,radish watery kimchi,1
steamed sweet barley rice,mandu (dumpling) soup,parboiled broccoli (perilla seed sauce),seasoned salad with winter cabbage,whole radish kimchi,deluxe rice ball,S_banana,chicken-mayo rice bowl,fried tofu winter mushroom soup,roasted shrimp with butter,dried radish,summer radish kimchi,S_homestyle banana milk,empty,steamed corn rice,kimchi onion soup,roasted pork,spring parsley and tomato salad,radish watery kimchi,5
steamed white rice (add),fried tofu spring onion  soup,pan-fried vegetables with lotus root,seasoned salad with cabbage,pickled beet,S_cheese stick,S_banana shake,steamed sweet brown rice (30),red bean porridge,stir-fried seafood and vegetables,cucumber chive salad,pickled cucumber,S_Fusilli salad,S_tomato juice,steamed black rice (add),potato soup,seasoned salad with wild chive and salted seaweed,pan-fried mushroom,perilla leaf kimchi,1
steamed white rice (add),red bean porridge,pan-fried vegetables with lotus root,seasoned salad with cabbage,pickled cucumber,S_banana shake,S_Fusilli salad,steamed sweet brown rice (30),fried tofu spring onion  soup,stir-fried seafood and vegetables,cucumber chive salad,pickled beet,S_cheese stick,S_tomato juice,steamed black rice (add),potato soup,pan-fried mushroom,seasoned salad with wild chive and salted seaweed,perilla leaf kimchi,2
steamed white rice (add),red bean porridge,pan-fried vegetables with lotus root,green salad,pickled beet,S_banana shake,empty,steamed sweet brown rice,fried tofu spring onion  soup,steamed pork shank and sweet pumpkin,cucumber chive salad,radish watery kimchi,S_cheese stick,S_tomato juice,steamed black rice,potato soup,seasoned salad with cold chicken,seasoned salad with garlic stem,perilla leaf kimchi,5
steamed pearl barley rice (30),zucchini salted shrimp soup or stew,braised tofu and peanut,lotus root and black sesame salad,whole radish kimchi,S_milk (100ml),S_beef burdock porridge,curried rice with tofu,seaweed mandu (dumpling) soup,stir-fried burdock and glass noodles,empty,radish watery kimchi,S_soft tofu salad (oriental dressing),S_sweet pumpkin rice punch,steamed pearl barley rice,Pyogo mushroom soup,lettuce salad in yuzu marinade,empty,summer radish watery kimchi,1
steamed pearl barley rice (30),Pyogo mushroom soup,braised tofu and peanut,lotus root and black sesame salad,whole radish kimchi,S_beef burdock porridge,S_soft tofu salad (oriental dressing),curried rice with tofu,zucchini salted shrimp soup or stew,lettuce salad in yuzu marinade,empty,radish watery kimchi,S_milk (100ml),S_sweet pumpkin rice punch,steamed pearl barley rice,seaweed mandu (dumpling) soup,stir-fried burdock and glass noodles,empty,summer radish watery kimchi,2
steamed pearl barley rice,Pyogo mushroom soup,braised tofu and peanut,seasoned salad with lettuce and acorn jelly,whole radish kimchi,S_beef burdock porridge,empty,curried rice,zucchini soup,roasted chicken with butter,lettuce salad in yuzu marinade,pickled beet,S_fried sweet potato,S_milk (200ml),steamed sweet rice,seaweed soup,stir-fried beef and tomato,seasoned three-color herbs,radish watery kimchi,5
steamed millet rice,mussel daikon soup,cabbage salad (sesame dressing),braised tofu in marinade sauce,cucumber kimchi,S_raisin potato bowl,S_red bean porridge,steamed brown rice (40),potato zucchini  soup,steamed eggs,braised eggs in soy sauce,kohlrabi watery kimchi,S_green plum tea,S_milk with misugaru (mixed grain powder),beef rice ball,clam soy paste soup,stir-fried pork and burdock with glass noodles,stir-fried chicken in soy sauce without bones,radish kimchi cubes,2
steamed millet rice,potato zucchini  soup,steamed eggs,braised eggs in soy sauce,cucumber kimchi,S_red bean porridge,S_green plum tea,steamed brown rice (40),mussel daikon soup,stir-fried pork and burdock with glass noodles,braised tofu in marinade sauce,kohlrabi watery kimchi,S_raisin potato bowl,S_milk with misugaru (mixed grain powder),beef rice ball,clam soy paste soup,stir-fried chicken in soy sauce without bones,cabbage salad (sesame dressing),radish kimchi cubes,3
steamed millet rice,potato zucchini  soup,steamed eggs,seasoned spinach,cucumber kimchi,S_red bean porridge,S_green plum tea,steamed brown rice,mussel daikon soup,stir-fried pork and burdock with glass noodles,braised tofu in marinade sauce,kohlrabi watery kimchi,S_milk with misugaru (mixed grain powder),empty,beef rice ball,clam soy paste soup,stir-fried chicken in soy sauce without bones,cabbage salad (sesame dressing),radish kimchi cubes,5
steamed millet rice (30),assorted mushroom stew,seasoned oyster mushroom,fried mandu (dumpling),radish watery kimchi,S_rice-based beverage,S_milk (100ml),steamed sweet rice (add),zucchini soup,seasoned winter mushroom,stir-fried zucchini and dried shrimp,whole radish kimchi,S_beef burdock porridge,S_soft tofu salad (oriental dressing),rice bowl with beef and aubergine,mandu (dumpling) soup,seasoned salad with shepherd's purse,braised burdock slices and konjac,pickled beet,1
steamed millet rice (30),assorted mushroom stew,stir-fried zucchini and dried shrimp,seasoned oyster mushroom,radish watery kimchi,S_beef burdock porridge,S_soft tofu salad (oriental dressing),steamed sweet rice (add),mandu (dumpling) soup,seasoned winter mushroom,seasoned salad with shepherd's purse,whole radish kimchi,S_milk (100ml),S_rice-based beverage,rice bowl with beef and aubergine,zucchini soup,fried mandu (dumpling),braised burdock slices and konjac,pickled beet,2
steamed millet rice,assorted mushroom stew,steamed eggs,seasoned oyster mushroom,radish watery kimchi,S_Yangsongyi mushroom veggie porridge,S_orange juice,steamed sweet rice,spicy seafood noodle soup,Mapa tofu,tomato cheese salad,sweet radish kimchi,S_sweet red bean bun,S_milk (200ml),stir-fried rice with sea lettuce and shrimp,zucchini soup,fried mandu (dumpling),braised burdock slices and konjac,pickled beet,5
steamed red bean sweet rice,tofu stew,stir-fried beef and bokchoy,seasoned salad with sweet potato stem in soy paste,summer radish watery kimchi,S_raisin potato bowl,S_misugaru (mixed grain powder),steamed red bean rice (30),mandu (dumpling) soft tofu stew,stir-fried winter mushroom,seasoned bellflower root,radish watery kimchi,S_homestyle banana milk,empty,steamed chestnut bean rice,oyster mushroom soup,vegetables croquette,cream tteokbokki (stir-fried rice cake),radish kimchi cubes,1
steamed red bean rice (30),tofu stew,stir-fried beef and bokchoy,seasoned salad with sweet potato stem in soy paste,radish watery kimchi,S_misugaru (mixed grain powder),S_raisin potato bowl,steamed red bean sweet rice,oyster mushroom soup,cream tteokbokki (stir-fried rice cake),vegetables croquette,radish kimchi cubes,S_homestyle banana milk,empty,steamed chestnut bean rice,mandu (dumpling) soft tofu stew,stir-fried winter mushroom,seasoned bellflower root,summer radish watery kimchi,2
steamed red bean rice,clam seaweed soup,rolled omelette,seasoned salad with sweet potato stem in soy paste,radish watery kimchi,S_misugaru (mixed grain powder),S_raisin potato bowl,steamed red bean sweet rice,oyster mushroom soup,cream tteokbokki (stir-fried rice cake),vegetables croquette,sweet radish kimchi,S_homestyle banana milk,empty,steamed chestnut bean rice,soft tofu stew,stir-fried barbequed pork and onion,seasoned bellflower root,radish watery kimchi,5
steamed pearl barley rice (40),zucchini tofu salted shrimp soup or stew,stir-fried soft crab and vegetables,stir-fried shrimp in ketchup,summer radish kimchi,S_rice-based beverage,S_potato raisin salad,steamed potato rice,octopus soup,fresh kimchi with chicory,braised pork belly in ketchup,sweet napa cabbage watery kimchi,S_carrot soup,S_milk with misugaru (mixed grain powder),deluxe rice with Pyogo mushroom and chwinamul,Sujebi with perilla seeds,stir-fried zucchini,stir-fried chicken in soy sauce without bones,radish watery kimchi,1
steamed pearl barley rice (40),Sujebi with perilla seeds,stir-fried soft crab and vegetables,stir-fried zucchini,sweet napa cabbage watery kimchi,S_carrot soup,S_rice-based beverage,steamed potato rice,octopus soup,stir-fried chicken in soy sauce without bones,fresh kimchi with chicory,radish watery kimchi,S_potato raisin salad,S_milk with misugaru (mixed grain powder),deluxe rice with Pyogo mushroom and chwinamul,zucchini tofu salted shrimp soup or stew,braised pork belly in ketchup,stir-fried shrimp in ketchup,summer radish kimchi,2
steamed pearl barley rice (40),Sujebi with perilla seeds,stir-fried soft crab and vegetables,seasoned spinach,sweet napa cabbage watery kimchi,S_carrot soup,S_crouton,steamed potato rice,octopus soup,stir-fried chicken in soy sauce without bones,fresh kimchi with chicory,radish watery kimchi,S_milk with misugaru (mixed grain powder),empty,deluxe rice with Pyogo mushroom and chwinamul,zucchini soup,braised pork belly in ketchup,seasoned salad with sedum,summer radish kimchi,5
steamed red bean rice (30),mussel daikon soup,seasoned oyster mushroom,roasted potato with butter,summer radish watery kimchi,S_milk (100ml),S_tomato juice,beef daikon rice + marinade sauce,cod soup,seasoned bellflower root and perilla seed,barbequed pork belly and cuttlefish (mild flavor),radish kimchi cubes,S_soft tofu salad (oriental dressing),S_sesame veggie porridge,steamed chestnut bean rice,assorted mushroom stew,dried radish,stir-fried beef and bokchoy,mustard leaf kimchi,2
steamed red bean rice (30),assorted mushroom stew,stir-fried beef and bokchoy,seasoned oyster mushroom,radish kimchi cubes,S_sesame veggie porridge,S_soft tofu salad (oriental dressing),beef daikon rice + marinade sauce,mussel daikon soup,roasted potato with butter,seasoned bellflower root and perilla seed,mustard leaf kimchi,S_milk (100ml),S_tomato juice,steamed chestnut bean rice,cod soup,barbequed pork belly and cuttlefish (mild flavor),dried radish,summer radish watery kimchi,3
steamed red bean rice,assorted mushroom stew,stir-fried beef and bokchoy,seasoned herbs with aubergine and perilla seed,radish kimchi cubes,S_rice-based cereal,S_milk (200ml),beef daikon rice + marinade sauce,mussel daikon soup,roasted potato with butter,green salad,pickled beet,S_bread roll,S_apple,steamed chestnut bean rice,cod soup,barbequed pork belly and cuttlefish (mild flavor),assorted lettuce-wraps,summer radish watery kimchi,5
curried rice with tofu,tofu clam soup,stir-fried zucchini,roasted aubergine,sweet radish kimchi,S_beef burdock porridge,S_potato raisin salad,steamed sweet potato rice (30),seaweed mandu (dumpling) soup,seasoned salad with deodeok and apple,seasoned salad with aubergine,whole radish kimchi,S_homestyle banana milk,S_rice-based beverage,steamed sweet rice (add),mandu (dumpling) soup,stir-fried zucchini and salted shrimp,pan-fried ham tuna and vegetables,radish watery kimchi,2
steamed sweet potato rice (30),tofu clam soup,stir-fried zucchini,seasoned salad with aubergine,sweet radish kimchi,S_beef burdock porridge,S_potato raisin salad,curried rice with tofu,seaweed mandu (dumpling) soup,pan-fried ham tuna and vegetables,seasoned salad with deodeok and apple,whole radish kimchi,S_homestyle banana milk,S_rice-based beverage,steamed sweet rice (add),mandu (dumpling) soup,stir-fried zucchini and salted shrimp,roasted aubergine,radish watery kimchi,3
steamed sweet potato rice,tofu clam soup,stir-fried zucchini and dried shrimp,seasoned salad with aubergine,sweet radish kimchi,S_potato raisin salad,S_orange,curried rice,fried tofu soy paste soup,pan-fried ham tuna and vegetables,seasoned salad with deodeok and apple,pickled beet,S_homestyle strawberry milk,empty,steamed sweet rice (add),mandu (dumpling) soup,steamed eggs with three-color vegetables,seasoned salad with winter celery in vinegar marinade,radish watery kimchi,5
steamed red bean sweet rice,mussel soup,stir-fried broccoli and nuts,tofu tuna salad (yuzu dressing),mustard leaf kimchi,S_black soy tteokbokki (stir-fried rice cake),S_milk (200ml),steamed red bean sweet rice,"mini-mandu (dumpling) soup (without eggs, processed mandu)",pan-fried seafood and kimchi,braised tofu in marinade sauce,winter cabbage kimchi,S_barley tea,S_sweet potato salad (mayonnaise),steamed corn rice (30),zucchini tofu salted shrimp soup,seasoned winter cabbage,roasted potato with butter,radish kimchi cubes,2
steamed red bean sweet rice,mussel soup,stir-fried broccoli and nuts,seasoned winter cabbage,radish kimchi cubes,S_sweet potato salad (mayonnaise),S_milk (200ml),steamed red bean sweet rice,"mini-mandu (dumpling) soup (without eggs, processed mandu)",pan-fried seafood and kimchi,braised tofu in marinade sauce,mustard leaf kimchi,S_black soy tteokbokki (stir-fried rice cake),S_barley tea,steamed corn rice (30),zucchini tofu salted shrimp soup,tofu tuna salad (yuzu dressing),roasted potato with butter,winter cabbage kimchi,2
steamed red bean sweet rice,mussel soup,braised tofu in marinade sauce,seasoned spinach,radish watery kimchi,S_sweet potato salad (mayonnaise),S_milk (200ml),steamed barley rice,"mini-mandu (dumpling) soup (without eggs, processed mandu)",pan-fried seafood and kimchi,seasoned salad with lettuce in vinegar marinade,mustard leaf kimchi,S_sweet red bean doughnut,S_orange juice,steamed corn rice,zucchini tofu salted shrimp soup,steamed halibut in marinade sauce,stir-fried potato,winter cabbage kimchi,5
curried rice with chicken and potato + marinade sauce,mini-ball rice cake seaweed soup,braised burdock slices and konjac,seasoned salad with sweet potato stem in soy paste,radish watery kimchi,S_milk (100ml),S_black soy milk porridge,steamed red bean rice (30),clam sea lettuce soup,vegetables croquette,stir-fried zucchini and dried shrimp,pickled beet,S_soft tofu salad (oriental dressing),S_tomato juice,steamed sweet rice (add),mandu (dumpling) soup,seasoned salad with dried radish,seasoned salad with bellflower root,kohlrabi watery kimchi,2
steamed red bean rice (30),mini-ball rice cake seaweed soup,stir-fried zucchini and dried shrimp,braised burdock slices and konjac,kohlrabi watery kimchi,S_black soy milk porridge,S_tomato juice,curried rice with chicken and potato + marinade sauce,clam sea lettuce soup,vegetables croquette,seasoned salad with bellflower root,pickled beet,S_soft tofu salad (oriental dressing),S_milk (100ml),steamed sweet rice (add),mandu (dumpling) soup,seasoned salad with dried radish,seasoned salad with sweet potato stem in soy paste,radish watery kimchi,3
steamed red bean rice (30),mini-ball rice cake seaweed soup,stir-fried zucchini and dried shrimp,braised burdock slices and konjac,sweet radish kimchi,S_black soy milk porridge,empty,curried rice with chicken and potato + marinade sauce,clam soup,spinach frittata,empty,pickled beet,S_banana apple kiwi salad,S_milk (200ml),steamed sweet rice,soy paste stew,grilled mackerel,seasoned salad with sweet potato stem in soy paste,radish watery kimchi,5
stir-fried rice with aubergine and vegetables,potato soup,stir-fried chicken and cabbage,stir-fried summer radish,cucumber kimchi,S_pak choi porridge,S_Korean melon salad,steamed chestnut red bean sweet rice,curled mallow soup,seasoned oyster mushroom,pan-fried seafood and kimchi,radish kimchi cubes,S_rice-based beverage,S_milk (200ml),steamed millet rice (30),potato soup,braised sweet potato and quail eggs,seasoned salad with winter celery in vinegar marinade,spring onion kimchi,2
steamed millet rice (30),potato soup,stir-fried chicken and cabbage,stir-fried summer radish,spring onion kimchi,S_pak choi porridge,S_Korean melon salad,stir-fried rice with aubergine and vegetables,curled mallow soup,pan-fried seafood and kimchi,seasoned oyster mushroom,cucumber kimchi,S_rice-based beverage,S_milk (200ml),steamed chestnut red bean sweet rice,potato soup,braised sweet potato and quail eggs,seasoned salad with winter celery in vinegar marinade,radish kimchi cubes,3
steamed millet rice (40),tofu soy paste soup,stir-fried chicken and cabbage,stir-fried summer radish,radish watery kimchi,S_pak choi porridge,S_green plum tea,stir-fried rice with aubergine and vegetables,curled mallow soup,pan-fried seafood and kimchi,seasoned oyster mushroom,cucumber kimchi,S_homestyle blueberry milk,empty,steamed mixed-grain rice,potato soup,braised sweet potato and quail eggs,seasoned salad with winter celery in vinegar marinade,radish kimchi cubes,5
