kor_name,eng_name
깻잎볶음밥,stir-fried rice with perilla leaves
꼬마김밥,mini-Gimbap (rice roll)
곤드레주먹밥+양념장,thistle rice ball + marinade sauce
곤드레무밥+양념장,steamed rice with thistle and daikon + marinade sauce
곤드레콩나물밥+양념장,steamed rice with thistle and bean sprout + marinade sauce
삼색나물비빔밥,Bibimbap with three-color herbs
나물비빔밥,Bibimbap with herbs
다진쇠고기김치볶음밥,stir-fried rice with minced beef and kimchi
두부카레라이스,curried rice with tofu
단호박카레라이스,curried rice with sweet pumpkin
달걀주먹밥,egg rice ball
오므라이스,omelette rice
달걀채소볶음밥,stir-fried rice with eggs and vegetables
닭살데리야끼덮밥,chicken teriyaki rice bowl
닭살카레감자밥+양념장,curried rice with chicken and potato + marinade sauce
닭살카레밥+양념장,curried rice with chicken + marinade sauce
닭살카레볶음밥,stir-fried rice with chicken curry
닭살채소볶음밥,stir-fried rice with chicken and vegetables
닭살채소주먹밥,chicken veggie rice ball
닭살카레라이스,curried rice with chicken
닭살토마토소스덮밥,chicken tomato rice bowl
알리오올리오스파게티,aglio e olio spaghetti
미트볼스파게티,meat ball spaghetti
닭살토마토스파게티,chicken tomato spaghetti
돼지고기채소볶음밥,stir-fried rice with pork and vegetable
돼지고기볶음밥,stir-fried rice with pork
소고기파프리카볶음밥,stir-fried rice with beef and paprika
닭살파프리카볶음밥,stir-fried rice with chicken and paprika
오징어덮밥,cuttlefish rice bowl
오징어채소덮밥,cuttlefish veggie rice bowl
돼지고기굴소스덮밥,rice bowl with pork in oyster sauce
닭갈비덮밥,rice bowl with spicy stir-fried chicken
돈육채소덮밥,pork veggie rice bowl
돈육굴소스볶음밥,stir-fried rice with pork in oyster sauce
참치김치볶음밥,stir-fried rice with tuna and kimchi
날치알김치볶음밥,stir-fried rice with flying fish roe and kimchi
오징어김치볶음밥,stir-fried rice with cuttlefish and kimchi
돈육김치비빔밥,Bibimbap with pork and kimchi
돼지고기김치볶음밥,stir-fried rice with pork and kimchi
돈육김치볶음밥,stir-fried rice with pork and kimchi
돈육양배추덮밥,pork cabbage rice bowl
돈육잡채덮밥,pork rice bowl with stir-fried vegetables
두부굴소스볶음밥,stir-fried rice with tofu in oyster sauce
우렁된장소스덮밥,soy paste rice bowl with freshwater snails
마파두부덮밥,Mapa tofu rice bowl
마파배추덮밥,Mapa tofu rice bowl with napa cabbage
메밀소바,buckwheat noodles
미나리불고기덮밥,barbequed beef rice bowl with water celery
바지락칼국수,noodle soup with clams
새우파래볶음밥,stir-fried rice with sea lettuce and shrimp
방울토마토새우볶음밥,stir-fried rice with cherry tomato and shrimp
오징어버섯덮밥,rice bowl with cuttlefish and mushroom
해물버섯덮밥,seafood mushroom rice bowl
새우버섯덮밥,shrimp mushroom rice bowl
버섯덮밥,mushroom rice bowl
베이컨파래볶음밥,stir-fried rice with bacon and sea lettuce
두부베이컨볶음밥,stir-fried rice with tofu and bacon
베이컨주먹밥,bacon rice ball
베이컨채소볶음밥,stir-fried rice with bacon and vegetables
봄나물덮밥,rice bowl with spring herbs
봄나물비빔밥,Bibimbap with spring herbs
브로콜리볶음밥,stir-fried rice with broccoli
삼색소보로덮밥,three-color soboro rice bowl
새송이버섯카레라이스,curried rice with Saesongyi mushroom
새우간장덮밥,soy-based shrimp rice bowl
새우부추볶음밥,stir-fried rice with shrimp and chive
새우채소볶음밥,stir-fried rice with shrimp and vegetables
새우살굴소스볶음밥,stir-fried rice with shrimp in oyster sauce
새우살볶음밥,stir-fried rice with shrimp
새우편마늘볶음밥,stir-fried rice with shrimp and garlic flakes
쇠고기가지덮밥,rice bowl with beef and aubergine
쇠고기굴소스덮밥,rice bowl with beef in oyster sauce
쇠고기무밥+양념장,beef daikon rice + marinade sauce
쇠고기부추볶음밥,stir-fried rice with chives
쇠고기볶음밥,stir-fried rice with beef
쇠고기상추비빔밥,Bibimbap with beef and lettuce
불고기야채비빔밥,Bibimbap with barbequed beef and vegetables
쇠고기양배추덮밥,beef cabbage rice bowl
쇠고기잡채덮밥,beef rice bowl with stir-fried vegetables
납작김밥,flat-Gimbap (rice roll)
살코기납작김밥,flat-Gimbap (rice roll) with lean meat
김주먹밥,rice ball with seaweed flakes
소고기김주먹밥,beef rice ball with seaweed flakes
쇠고기김주먹밥,beef rice ball with seaweed flakes
쇠고기주먹밥,beef rice ball
소고기굴소스볶음밥,stir-fried rice with beef in oyster sauce
쇠고기채소볶음밥,stir-fried rice with beef and vegetables
쇠고기콩나물밥+양념장,beef bean sprout rice + marinade sauce
돼지불고기덮밥,barbequed pork rice bowl
돈육불고기덮밥,barbequed pork rice bowl
쇠고기불고기덮밥,barbequed beef rice bowl
쇠불고기덮밥,barbequed beef rice bowl
유부불고기덮밥,barbequed beef rice bowl with fried tofu
해물수제비,Sujebi with seafood
수제비,Sujebi
시금치데리야끼볶음밥,stir-fried rice with teriyaki spinach
시금치쇠고기덮밥,spinach beef rice bowl
쌀국수,rice noodles
양배추소시지덮밥,cabbage sausage rice bowl
연근달걀볶음밥,stir-fried rice with eggs and lotus root
열무비빔밥,Bibimbap with summer radish
볶음쌀국수,stir-fried rice noodles
쌀국수볶음,stir-fried rice noodles
오리엔탈비빔쌀국수,oriental mixed rice noodles
완두콩짜장밥,mung bean black soy rice
어묵우동,udon (white wheat noodles) with fried fish paste
우동,udon (white wheat noodles)
단호박영양밥,deluxe rice with sweet pumpkin
뿌리채소영양밥,deluxe rice with root vegetables
우엉쇠고기볶음밥,stir-fried rice with burdock and beef
건새우우엉주먹밥,burdock rice ball with dried shrimp
우엉주먹밥,burdock rice ball
소고기유부초밥,fried tofu rice ball with beef
김가루주먹밥,rice ball with seaweed flakes
잔멸치김밥,Gimbap (rice roll) with baby anchovy
멸치파래주먹밥,anchovy sea lettuce rice ball
멸치주먹밥,_anchovy rice ball
잔멸치주먹밥,baby anchovy rice ball
온메밀국수,buckwheat noodles
잔치국수,banquet noodles
주꾸미부추볶음밥,stir-fried rice with jukkumi and chive
두부짜장밥,steamed rice with black soy tofu
삼선짜장밥,steamed rice with black soy seafood
짜장덮밥,black soy rice bowl
돈육짜장밥,steamed rice with black soy pork
미역국밥,steamed rice with seaweed soup
짜장밥,steamed rice with black soy
짜장면,black soy noodles
참치깻잎덮밥,tuna rice bowl with perilla leaves
참치채소볶음밥,stir-fried rice with tuna and vegetables
참치새싹비빔밥,Bibimbap with tuna and sprouts
참치채소비빔밥,Bibimbap with tuna and vagitable
참치비빔밥,Bibimbap with tuna
참치주먹밥,tuna rice ball
훈제오리볶음밥,stir-fried rice with smoked duck
오리훈제볶음밥,stir-fried rice with smoked duck
연두부볶음밥,stir-fried rice with soft tofu
채소볶음밥,stir-fried rice with vegetables
채소비빔밥,Bibimbap with vegetables
채소주먹밥,veggie rice ball
충무김밥+반찬,Choongmoo Gimbap (rice roll) + side dishes
충무김밥,Choongmoo Gimbap (rice roll)
쇠고기배추밥+양념장,steamed rice with beef and napa cabbage
시래기영양밥+양념장,deluxe rice with dried radish leaves + marinade sauce
버섯영양밥+양념장,deluxe rice with mushroom + marinade sauce
취나물표고영양밥,deluxe rice with Pyogo mushroom and chwinamul
치즈채소볶음밥,stir-fried rice with cheese and vegetables
치킨마요덮밥,chicken-mayo rice bowl
소고기카레라이스,curried rice with beef
쇠고기카레라이스,curried rice with beef
카레볶음우동,stir-fried udon (white wheat noodles) in curry
카레라이스,curried rice
두유냉국수,noodles in cold soy milk
콩국수,noodles in cold soy soup
콩나물무밥,steamed rice with bean sprout and daikon
콩나물밥,steamed rice with bean sprout
콩나물무밥+양념장,steamed rice with bean sprout and daikon + marinade sauce
콩나물밥+양념장,steamed rice with bean sprout + marinade sauce
푸실리파스타,Fusilli pasta
토마토스파게티,tomato spaghetti
달걀볶음밥,_stir-fried rice with eggs
대파달걀볶음밥,stir-fried rice with eggs and spring onion
닭살옥수수볶음밥,stir-fried rice with chicken and corn
파인콘채소볶음밥,stir-fried rice with pineapple corn and vegetables
쇠고기파인애플볶음밥,stir-fried rice with beef and pineapple
파인애플볶음밥,stir-fried rice with pineapple
파인애플새우볶음밥,stir-fried rice with pineapple and shrimp
표고버섯콩나물밥,steamed rice with Pyogo mushroom and bean sprout
닭살하이라이스,hashed rice with chicken
쇠고기하이라이스,hashed rice with beef
하이라이스,hashed rice
오징어굴소스볶음밥,stir-fried rice with cuttlefish in oyster sauce
해물볶음밥,stir-fried rice with seafood
김치스팸치즈볶음밥,stir-fried rice with kimchi cheese and grilled spam
안매운김치볶음밥,stir-fried rice with kimchi (mild flavor)
씻은김치볶음밥,stir-fried rice with washed kimchi
백김치볶음밥,stir-fried rice with white kimchi
김치볶음밥,stir-fried rice with kimchi
햄김치볶음밥,stir-fried rice with kimchi and ham
김치영양밥,deluxe rice with kimchi
햄채소볶음밥,stir-fried rice with vegetables and ham
햄크림파스타,cream pasta with ham
닭채소칼국수,noodle soup with chicken and vagitables
고구마짜장밥,black soy rice with sweet potato
호박짜장밥,black soy rice with zucchini
짜장라이스,black soy rice
쇠고기비빔밥,Bibimbap with beef
베이컨김치볶음밥,stir-fried rice with bacon and kimchi
쇠고기야채볶음밥,stir-fried rice with beef and vegetables
돼지고기카레라이스,curried rice with pork
돈육카레라이스,curried rice with pork
돈육버섯카레라이스,curried rice with pork and mushroom
쇠고기오므라이스,omelette rice with beef
야채유부초밥,fried tofu rice ball with vegetables
국수,noodles
해물칼국수,seafood noodle soup
오징어칼국수,cuttlefish noodle soup
베이컨치즈스파게티,bacon cheese spaghetti
맛살우동,udon (white wheat noodles) with soft crab
쇠고기비빔국수,mixed noodles with beef
김치우동,udon (white wheat noodles) with kimchi
깻잎누드롤,rice roll with perilla leaves
미니김밥,mini-Gimbap (rice roll)
달걀버섯볶음밥,stir-fried rice with eggs and mushroom
마파두부밥,steamed rice with Mapa tofu
불고기주먹밥,barbequed beef rice ball
새우야채볶음밥,stir-fried rice with shrimp and vegetables
야채주먹밥,veggie rice ball
청포묵비빔밥,Bibimbap with mung bean jelly
김치햄볶음밥,stir-fried rice with kimchi and ham
햄야채볶음밥,stir-fried rice with vegetables and ham
김치해물칼국수,kimchi seafood noodle soup
닭칼국수,chicken noodle soup
비빔쌀국수,mixed rice noodles
새우크림스파게티,shrimp cream spaghetti
쇠고기쌀국수,beef rice noodles
오뎅우동,udon (white wheat noodles) with fried fish paste
오색채소비빔면,mixed noodles with five-color vegetables
해물우동볶음,stir-fried udon (white wheat noodles) with seafood
해산물칼국수,seafood noodle soup
우엉채소볶음밥,stir-fried rice with burdock and vegetables
찹쌀닭백숙,whole chicken soup with sweet rice
볶음우동,stir-fried udon (white wheat noodles)
주꾸미미나리볶음밥,stir-fried rice with jukkumi and water celery
참나물유부초밥,fried tofu rice ball with spring parsley
일본식쇠고기덮밥(규동),Japanese beef rice bowl (gyudon)
해물굴소스볶음밥,stir-fried rice in oyster sauce
멸치볶음밥,stir-fried rice with anchovy
과일카레라이스,curried rice with fruits
크림소스스파게티,cream spaghetti
안매운마파두부덮밥,Mapa tofu rice bowl (mild flavor)
해물볶음우동,stir-fried seafood udon (white wheat noodles)
브로콜리채소볶음밥,stir-fried rice with broccoli and vegetables
취나물밥+양념장,steamed rice with chwinamul + marinade sauce
유부초밥,fried tofu rice ball
닭가지볶음밥,stir-fried rice with chicken and aubergine
열무보리비빔밥,Bibimbap with barley rice and summer radish
열무보리간장비빔밥,Bibimbap with soy-based barley rice and summer radish
오이비빔국수,mixed noodles with cucumber
닭고기카레라이스,curried rice with chicken
참치가지볶음밥,tuna aubergine stir-fried rice
토마토새우볶음밥,tomato shrimp stir-fried rice
새우카레볶음밥,stir-fried rice with shrimp in curry
게살볶음밥,stir-fried rice with soft crab
밥새우주먹밥,shrimp rice ball
돼지고기잡채덮밥,pork rice bowl with stir-fried vegetables
깻잎비빔국수,_mixed noodles with perilla leaves
소보로덮밥,soboro rice bowl
파프리카유부초밥,paprika rice ball with fried tofu
돈육카레볶음밥,stir-fried rice with pork in curry
비빔국수,_mixed noodles
참치마요덮밥,tuna-mayo rice bowl
크림리조또,_cream risotto
연두부된장덮밥,soy paste rice bowl with soft tofu
깐풍돼지고기덮밥,chilli deep-fried pork rice bowl
장조림버터비빔밥,Bibimbap with butter and braised beef in soy sauce
곤드레나물밥+양념장,steamed rice with thistle + marinade sauce
홍합영양밥,deluxe rice with mussel
양배추밥+양념장,steamed rice with cabbage + marinade sauce
냉콩국+소면,chilled bean soup + noodles
감자수제비,Sujebi with potato
게살된장우동,soy paste udon (white wheat noodles) with soft crab
단호박수제비,Sujebi with sweet pumpkin
들깨수제비,Sujebi with perilla seeds
들깨칼국수,perilla seed noodle soup
칼국수,noodle soup
새우튀김우동,udon (white wheat noodles) with deep-fried shrimp
매생이수제비,Sujebi with seaweed fulvescens
메밀국수,chilled buckwheat noodles
유부우동,udon (white wheat noodles) with fried tofu
호박감자수제비,Sujebi with zucchini and potato
호박칼제비,zucchini noodle soup
가자미미역국,halibut seaweed soup
갈비탕,short rib beef soup
갈비탕+당면,short rib beef soup + glass noodles
설렁탕,ox bone soup
설렁탕+소면,ox bone soup + plain noodles
갈은북어국,ground dried pollack soup
감잣국,persimmon pine nut soup
감자국,potato soup
감자다시마국,potato seaweed  soup
감자미역국,potato seaweed soup
감자달걀국,potato egg soup
감자된장찌개,potato soy paste stew
감자된장국,potato soy paste soup
감자맑은된장국,potato soy paste soup
감자부추국,potato chive soup
감자수제비국,Sujebi with potato
감자수제비국(조개x),Sujebi with potato (without clam)
감자애호박국,potato zucchini  soup
무채양팟국,shredded radish onion soup
감자양파국,potato onion soup
감자양팟국,potato onion soup
감자채맑은국,potato soup
감자챗국,potato soup
감자탕,potato soup
감자호박국,potato zucchini soup
감자옹심이국,potato dough soup
강된장,soy paste with beef and mushroom
건새우감자국,dried shrimp potato soup
건새우근대국,dried shrimp chard soup
건새우근대장국,dried shrimp chard soy paste soup
건새우된장국,dried shrimp soy paste soup
건새우맑은국,dried shrimp soup
건새우뭇국,dried shrimp daikon soup
건새우무국,dried shrimp daikon soup
건새우부추국,dried shrimp chive soup
건새우시금치국,dried shrimp spinach soup
건새우아욱국,dried shrimp curled mallow soup
건새우아욱토장국,dried shrimp curled mallow soy paste soup
건새우콩나물국,dried shrimp bean sprout soup
건홍합다시마맑은국,dried mussel seaweed soup
건홍합맑은국,dried mussel soup
홍합탕,mussel soup
홍합국,mussel soup
미니게살된장우동,mini soy paste udon (white wheat noodles) with soft crab
감자고추장찌개,red chilli paste stew with potato
돼지고기고추장찌개,red chilli paste stew with pork
고추장찌개,red chilli paste stew
곤약어묵국,konjac fried fish paste soup
곰국,beef bone soup
곰취된장국,groundsel soy paste soup
곰취마른새우국,groundsel dried shrimp  soup
굴국,oyster soup
굴댤걀국,oyster egg soup
굴두부국,oyster tofu soup
굴미역국,oyster seaweed soup
근대국,chard soup
근대된장국,chard soy paste soup
근대맑은국,chard soup
근대장국수,chard soy paste noodles
아욱토장국,curled mallow soy paste soup
근대토장국,chard soy paste soup
김국,salted seaweed soup
김치국,kimchi soup
김칫국,kimchi soup
김치두부국,kimchi tofu soup
김치두부찌개,kimchi tofu stew
김치맑은국,kimchi soup
김치양팟국,kimchi onion soup
김치어묵국,kimchi fried fish paste soup
미니김치우동,mini udon (white wheat noodles) with kimchi
김치유부맑은국,kimchi fried tofu soup
김치콩나물국,kimchi bean sprout soup
깻잎국,perilla leaf soup
깻잎된장찌개,perilla leaf soy paste stew
꽃게된장국,crab soy paste soup
꽃게탕,crab soup
꼬막된장찌개,cockle soy paste stew
낙지연포탕,octopus soup
냉이된장국,shepherd's purse soy paste soup
냉이콩나물된장국,shepherd's purse bean sprout soy paste soup
냉잇국,shepherd's purse soup
냉콩나물국,cold bean sprout soup
느타리배춧국,oyster mushroom chive soup
느타리버섯국,oyster mushroom soup
느타리버섯맑은국,oyster mushroom soup
늙은호박국,zucchini soup
올갱이된장국,freshwater snail soy paste soup
올갱이국,freshwater snail soup
우렁이된장찌개,freshwater snail soy paste stew
아욱우렁된장국,freshwater snail soy paste soup with curled mallow
우렁이된장국,freshwater snail soy paste soup
우렁이두부된장국,freshwater snail tofu soy paste soup
다슬기된장국,freshwater snail soy paste soup
다슬기된장국(올갱이국),freshwater snail soy paste soup (freshwater snail soup)
다슬기아욱국,freshwater snail curled mallow  soup
다시마감자국,seaweed potato soup
다시마무챗국,seaweed daikon soup
다시마무채국,seaweed daikon soup
다시마새우젓국,seaweed salted shrimp soup
다시마양파국,seaweed onion soup
다시마채국,seaweed soup
다진소고기콩나물국,minced beef bean sprout soup
단배추된장국,sweet napa cabbage soy paste soup
단호박김칫국,sweet pumpkin kimchi soup
단호박된장국,sweet pumpkin soy paste soup
단호박맑은국,sweet pumpkin soup
단호박무국,sweet pumpkin daikon soup
단호박새우젓국,sweet pumpkin salted shrimp soup
단호박수제비국,Sujebi with sweet pumpkin
달걀국,egg soup
달걀쑥국,egg mugwort soup
달걀파국,egg spring onion soup
달걀팟국,egg spring onion soup
달걀떡국,egg rice cake soup
달래두부된장국,wild chive and crushed tofu soy paste soup
달래된장국,wild chive soy paste soup
달래맑은국,wild chive soup
닭곰탕,chicken bone soup
채소닭고기국,chicken vegetables soup
닭고기곰탕,chicken bone soup
닭다리백숙,chicken drumstick soup
닭고기무국,chicken daikon soup
닭고기채소찌개,chicken vegetables stew
(저염)닭곰탕,(low-salt) chicken bone soup
닭가슴살미역국,chicken seaweed soup
닭살미역국,chicken seaweed soup
닭살숙주국,chicken green bean sprout soup
닭살시금치국,chicken spinach soup
당근황태국,carrot dried pollack soup
브로콜리스프,broccoli soup
당근스프,carrot soup
대구살맑은국,cod soup
대구지리,cod soup
대구탕,cod soup
대파감자국,spring onion potato soup
조갯살된장찌개,clam soy paste soup
돼지고기된장찌개,pork soy paste soup
대파된장찌개,spring onion soy paste stew
대파무채국,spring onion daikon soup
대합국,clam soup
대합미역국,clam seaweed soup
대합전복미역국,clam abalone seaweed soup
안매운참치김치찌개,mild tuna kimchi stew
안매운돼지고기김치찌개,mild pork kimchi stew
안매운돈육김치찌개,mild pork kimchi stew
돈육김치찌개,pork kimchi stew
돈육김칫국,pork kimchi soup
동태찌개,pollack stew
동태맑은국,pollack soup
동태살국,pollack soup
동태살무국,pollack daikon soup
동태살쑥갓국,pollack crown daisy soup
동태살애호박국,pollack zucchini  soup
돼지고기김치찌개,pork kimchi stew
돼지사골국,pork bone soup
사골당면국,ox bone soup with glass noodles
사골팟국,bone soup
두부감잣국,tofu persimmon pine nut soup
두부곤약탕국,tofu konjac soup
두부김치국,tofu kimchi soup
김치찌개,kimchi stew
두부김치찌개,tofu kimchi stew
두부김칫국,tofu kimchi soup
두부달걀국,tofu egg soup
새우두부탕국,shrimp tofu soup
두부대합탕국,tofu clam soup
두부된장국,tofu soy paste soup
된장찌개,soy paste stew
두부된장찌개,tofu soy paste stew
두부찌개,tofu stew
두부맑은된장국,tofu soy paste soup
두부미소장국,tofu miso paste soup
두부미역국,tofu seaweed soup
두부미역장국,tofu seaweed soy paste soup
두부새우젓국,tofu salted shrimp soup
두부애호박국,tofu zucchini soup
두부장국,tofu soy paste soup
두부젓국찌개,tofu salted shrimp soup or stew
두부콩나물국,tofu bean sprout soup
두부탕국,tofu soup
들깨가루미역국,perilla seed seaweed soup
들깨미역국,perilla seed seaweed soup
들깨감자국,perilla seed potato soup
무들깻국,daikon perilla seed soup
들깨무챗국,perilla seed daikon soup
들깨뭇국,perilla seed daikon soup
들깨버섯국,perilla seed mushroom soup
들깨수제비국,Sujebi with perilla seeds
들깨순두부백탕,perilla seed soft tofu soup
우거지들깨국,perilla seed  soup with dried cabbage leaves
들깨우거지국,perilla seed  soup with dried cabbage leaves
들깨채소국,perilla seed vegetables soup
미니들깨칼국수,mini-perilla seed noodle soup
호박고지들깨탕,perilla seed zucchini soup
들깨탕,perilla seed soup
들깨표고국,perilla seed Pyogo mushroom soup
쇠고기떡국,beef rice cake soup
떡만둣국(가공만두),rice cake mandu (dumpling) soup (processed mandu)
떡만둣국,rice cake mandu (dumpling) soup
만둣국(가공만두),mandu (dumpling) soup (processed mandu)
"만둣국(달걀제외,가공만두)","mandu (dumpling) soup (without eggs, processed mandu)"
"물만둣국(달걀제외,가공만두)","mini-mandu (dumpling) soup (without eggs, processed mandu)"
만둣국,mandu (dumpling) soup
만두국,mandu (dumpling) soup
만두닭개장,mandu (dumpling) chicken stew
만두순두부찌개,mandu (dumpling) soft tofu stew
맑은장국,soy paste soup
맑은가쓰오부시장국,dried bonito soy paste soup
맑은김치어묵국,kimchi fried fish paste soup
닭개장,chicken stew
안매운닭개장,mild chicken stew
맑은닭개장,chicken stew
맑은미역국,seaweed soup
맑은동태찌개,pollack stew
맑은애호박국,zucchini  soup
맑은꽃게탕,crab soup
맑은바지락탕,clam soup
맑은순두부국,soft tofu soup
안매운순두부찌개,mild soft tofu stew
맑은양배춧국,cabbage soup
맑은오징어무국,cuttlefish daikon soup
맑은육개장,beef stew
맑은짬뽕국,spicy seafood noodle soup
미니어묵우동,mini-udon (white wheat noodles) with fried fish paste
미니맛살우동,mini-udon (white wheat noodles) with soft crab
매생이떡국,Maesaengyi rice cake soup
매생이국,Maesaengyi soup
매생이두부국,Maesaengyi tofu soup
매생이홍합국,Maesaengyi mussel soup
매콤육개장,spicy beef stew
매콤콩나물국,spicy bean sprout soup
멸치장국,anchovy soy paste soup
모듬버섯국,assorted mushroom soup
모듬버섯된장국,assorted mushroom soy paste soup
모듬버섯찌개,assorted mushroom stew
모듬어묵국,assorted fried fish paste soup
모듬어묵장국,assorted fried fish paste soy paste soup
모듬어묵탕,assorted fried fish paste soup
모시조개탕,clam soup
모시조갯국,clam soup
목살김칫국,pork kimchi soup
목살찌개,pork stew
무된장국,daikon soy paste soup
무맑은국,daikon soup
뭇국,daikon soup
무챗국,daikon soup
묵국,acorn jelly soup
물만두국(가공만두),mini-mandu (dumpling) soup (processed mandu)
미니칼국수,mini-noodle soup
미니우동,mini-udon (white wheat noodles)
미소국,miso paste soup
미소된장국,miso paste soup
미소장국,miso paste soup
실파미소장국,spring onion miso paste soup
미역국,seaweed soup
미역냉국,cold seaweed soup
미역된장국,seaweed soy paste soup
미역만두국,seaweed mandu (dumpling) soup
미역미소장국,seaweed miso paste soup
미역북어국,seaweed dried pollack soup
북어미역국,dried pollack seaweed soup
가지냉국,cold aubergine soup
오이미역냉국,cold cucumber Korean seaweed soup
미역오이냉국,cold seaweed cucumber soup
미역장국,seaweed soy paste soup
미역참치국,seaweed tuna soup
바지락미역국,clam seaweed soup
바지락된장국,clam soy paste soup
바지락국,clam soup
바지락맑은국,clam soup
부추바지락국,clam chive soup
바지락부춧국,clam chive soup
바지락살맑은국,clam soup
바지락살무국,clam daikon soup
바지락살순두부국,clam soft tofu soup
바지락파래국,clam sea lettuce soup
방아잎된장국,Korean mint soy paste soup
배추당면국,napa cabbage soup with glass noodles
배추맑은국,napa cabbage soup
배추된장국,napa cabbage soy paste soup
머위들깻국,butterbur perilla seed soup
배추들깻국,napa cabbage perilla seed soup
배추들깨국,napa cabbage perilla seed soup
맑은배춧국,napa cabbage soup
배춧국,napa cabbage soup
버섯개장,mushroom stew
버섯달걀탕,mushroom egg soup
버섯당면국,mushroom soup with glass noodles
버섯된장국,mushroom soy paste soup
버섯들깨탕,mushroom perilla seed soup
버섯들깻국,mushroom perilla seed  soup
버섯들깨국,mushroom perilla seed  soup
버섯맑은국,mushroom soup
버섯뭇국,mushroom daikon soup
버섯부추국,mushroom chive soup
버섯찌개,mushroom stew
버섯샤브샤브,mushroom shabu-shabu
버섯육개장,mushroom beef stew
두부전골,tofu stew
버섯채소전골,mushroom vegetables stew
봄동된장국,spring cabbage soy paste soup
부대찌개,sausage stew
부추달걀국,chive egg  soup
부추된장국,chive soy paste soup
부추들깨국,chive perilla seed soup
부추들깻국,chive perilla seed soup
부추맑은국,chive soup
새우맑은국,shrimp soup
부추새우맑은국,chive shrimp soup
부추미소장국,chive miso paste soup
북어김칫국,dried pollack kimchi soup
북어계란국,dried pollack egg soup
북어뭇국,dried pollack daikon soup
북어채무국,dried pollack daikon soup
북어챗국,dried pollack soup
매콤북엇국,spicy dried pollack soup
북엇국,dried pollack soup
사골떡국,ox bone rice cake soup
삼계탕,whole chicken soup
새송이버섯국,Saesongyi mushroom soup
새알떡국,mini-rice cake soup
새알심미역국,mini-rice cake seaweed soup
새알미역국,mini-rice cake seaweed soup
새우살두부국,shrimp tofu soup
새우달걀국,shrimp egg soup
새우살무국,shrimp daikon soup
새우살미역국,shrimp seaweed soup
새우살시금치국,shrimp spinach soup
새우살애호박국,shrimp zucchini soup
새우젓국찌개,salted shrimp soup or stew
미니새우튀김우동,mini-udon (white wheat noodles) with deep-fried shrimp
소갈비탕,short rib beef soup
소고기감자국,beef potato soup
소고기깻잎국,beef perilla leaf soup
소고기버섯국,beef mushroom soup
소고기버섯들깨국,beef mushroom perilla seed soup
소고기봄동국,beef spring cabbage soup
소고기숙주국,beef green bean sprout soup
소고기얼갈이국,beef winter cabbage soup
소고기탕국,beef soup
(쇠고기제외)당면양배춧국,cabbage soup (without beef) with glass noodles
쇠고기당면국,beef soup with glass noodles
쇠고깃국,beef soup
쇠고기뭇국,beef daikon soup
쇠고기무국,beef daikon soup
쇠고기미역국,beef seaweed soup
쇠고기버섯찌개,beef mushroom stew
쇠고기배춧국,beef napa cabbage soup
쇠고기숙주국,beef green bean sprout soup
쇠고기순두부찌개,beef soft tofu stew
쇠고기콩나물국,beef bean sprout soup
쇠고기탕국,beef soup
버섯쇠고기국,mushroom beef soup
쇠고기팽이버섯국,beef winter mushroom soup
매생이수제비국,Sujebi with seaweed fulvescens
수제비국,Sujebi
수제비아욱국,Sujebi with curled mallow
숙주당면국,green bean sprout soup with glass noodles
숙주맑은국,green bean sprout soup
숙주미소장국,green bean sprout miso paste soup
순두부국,soft tofu soup
순두부낙지연포탕,soft tofu octopus soup
순두부백탕,soft tofu soup (mild flavor)
순두부찌개,soft tofu stew
순한고추장찌개,mild red chilli paste stew
순한김치두붓국,mild kimchi tofu soup
안매운김치찌개,mild kimchi stew
안매운김칫국,mild kimchi soup
순한김칫국,mild kimchi soup
해물짬뽕국,spicy seafood noodle soup
백짬뽕국,mild seafood noodle soup
순한백짬뽕국,mild seafood noodle soup
안매운육개장,mild beef stew
순한육개장,mild beef stew
시금치국,spinach soup
시금치된장국,spinach soy paste soup
시금치맑은국,spinach soup
시금치북엇국,spinach dried pollack soup
시락국,dried radish leaf soup
시래기들깻국,perilla seed soup with dried radish leaf
시래기국,dried radish leaf soup
시래기된장국,dried radish leaf soy paste soup
실파김국,spring onion salted seaweed soup
실파달걀국,spring onion egg  soup
실파맑은국,spring onion soup
실파무채국,spring onion daikon soup
실파장국,spring onion soy paste soup
실파콩나물국,spring onion bean sprout soup
쑥갓된장국,crown daisy soy paste soup
쑥갓맑은국,crown daisy soup
쑥갓어묵국,crown daisy fried fish paste soup
어묵탕,fried fish paste soup
쑥갓어묵탕,crown daisy fried fish paste soup
쑥국,mugwort soup
쑥된장국,mugwort soy paste soup
쑥완자탕,mugwort meat dumpling soup
아욱국,curled mallow soup
아욱된장국,curled mallow soy paste soup
아욱맑은국,curled mallow soup
아욱장국,curled mallow soy paste soup
애탕국,fish roe soup
매콤애호박국,spicy zucchini soup
애호박국,zucchini soup
애호박된장국,zucchini soy paste soup
애호박두부된장국,zucchini tofu soy paste soup
애호박맑은국,zucchini soup
애호박젓국찌개,zucchini salted shrimp soup or stew
애호박두부젓국찌개,zucchini tofu salted shrimp soup or stew
애호박두부젓국,zucchini tofu salted shrimp soup
애호박새우젓국찌개,zucchini salted shrimp soup or stew
애호박젓국,zucchini salted shrimp soup
애호박새우젓국,zucchini salted shrimp soup
애호박양파국,zucchini onion soup
