kor,eng
간장닭강정,Deep-fried chicken nuggets in soy sauce
순살후라이드치킨,Deep-fried chicken without bones
연근강정,Deep-fried crispy lotus root
갈치카레튀김,Deep-fried cutlassfish in curry
오징어튀김,Deep-fried cuttlefish
오징어링튀김,Deep-fried cuttlefish rings
김말이튀김,Deep-fried glass noodles and vegetables in seaweed
당면김말이튀김,Deep-fried glass noodles in seaweed
가자미튀김,Deep-fried halibut
연근튀김,Deep-fried lotus root
고등어튀김,Deep-fried mackerel
만두강정,Deep-fried dumpling
만두탕수,Dumpling in sweet and sour sauce
튀김만두+초간장,Deep-fried mandu (dumpling) + soy sauce with vinegar
양파튀김,Deep-fried onion
양파링튀김,Deep-fried onion ring
감자튀김,Deep-fried potato
다시마튀각,Deep-fried brown kelp(sweet rice)
다시마튀김,Deep-fried brown kelp
미역귀튀각,Deep-fried seaweed
새우튀김,Deep-fried shrimp
새우맛연근튀김,Deep-fried shrimp and lotus root
깐쇼새우,Deep-fried shrimp in spicy sauce
새우깐풍기,Deep-fried shrimp in hot pepper sauce
새우춘권튀김,Deep-fried shrimp spring rolls
게맛살튀김,Deep-fried soft crab
삼치튀김,Deep-fried spanish mackerel
삼치데리야끼소스튀김,Deep-fried spanish mackerel in teriyaki sauce
춘권튀김,Deep-fried spring rolls
고구마튀김,Deep-fried sweet potato
단호박튀김,Deep-fried sweet pumpkin
모듬튀김,Deep-fried vegetables
옥수수채소튀김,Deep-fried vegetables(sweet potato) with corn
채소옥수수튀김,Deep-fried vegetables(potato) with corn
톳채소튀김,Deep-fried vegetables with hijiki
호두강정,Deep-fried walnut
뱅어포튀김,Deep-fried white bait
흰살생선튀김,Deep-fried white fish
영양부추겉절이,Deluxe fresh kimchi with chive
카레해물영양전,Deluxe pan-fried seafood in curry
닭영양밥,Deluxe rice with chicken
시래기영양밥+양념장,Deluxe rice with dried radish leaves + marinade sauce
김치영양밥,Deluxe rice with kimchi
버섯영양밥+양념장,Deluxe rice with mushroom + marinade sauce
홍합영양밥,Deluxe rice with mussel
취나물표고영양밥,Deluxe rice with pyogo mushroom and chwinamul
뿌리채소영양밥,Deluxe rice with root vegetables
일미무침,Deluxe seasoned salad
영양찜닭,Deluxe steamed chicken
맑은가쓰오부시장국,Dried bonito soy paste soup
우거지국,Dried cabbage leaf soup
우거지맑은국,Dried cabbage leaf soup(clear)
우거지된장,Dried cabbage leaf soy paste stew
우거지된장국,Dried cabbage leaf soy paste soup
시래기들깨국,Dried cabbage perilla seed soup
건홍합다시마맑은국,Dried mussel brown kelp soup
건홍합맑은국,Dried mussel soup
S감말랭이,Dried persimmon
황태콩나물국,Dried pollack bean sprout soup
북어채무국,Dried pollack daikon soup
북어달걀국,Dried pollack egg soup
북어김치국,Dried pollack kimchi soup
북어무국,Dried pollack radish soup
북어미역국,Dried pollack and seaweed soup
황태미역국,Frozen and dried pollack seaweed soup
북어국,Dried pollack soup
황태국,Frozen and dried pollack soup
황태채맑은국,Frozen and dried pollack(Shredded) soup
황태애호박국,Dried pollack zucchini  soup
무말랭이,Dried radish
시락국,Dried winter cabbage soup
시래기국,Dried radish leaf soup
시래기된장국,Dried radish leaf soy paste soup
건새우콩나물국,Dried shrimp bean sprout soup
건새우근대국,Dried shrimp chard soup
건새우근대장국,Dried shrimp chard soy paste soup
건새우부추국,Dried shrimp chive soup
건새우아욱국,Dried shrimp curled mallow soup
건새우아욱토장국,Dried shrimp curled mallow soy paste soup
건새우무국,Dried shrimp daikon soup
건새우감자국,Dried shrimp potato soup
건새우맑은국,Dried shrimp soup
건새우된장국,Dried shrimp soy paste soup
건새우시금치국,Dried shrimp spinach soup
탕수육+소스,Dumpling + sauce
후르츠탕수육,Dumpling in fruit sauce
레몬소스탕수육,Dumpling in lemon sauce
"만두국(달걀제외,가공만두)","Dumpling soup (no eggs, processed dumplings)"
만두국(가공만두),Dumpling soup (processed dumplings)
찹쌀탕수육,Dumpling with sweet rice
달걀숙주냉채,Egg green bean sprout salad
달걀쑥국,Egg mugwort soup
달걀주먹밥,Egg rice ball
달걀떡국,Egg rice cake soup
달걀샐러드,Egg salad
달걀국,Egg soup
달걀파국,Egg spring onion soup
어묵무국,Fish cake and radish soup
생선까스,Fish cutlet
생선까스+타르타르소스,Fish cutlet + tartar sauce
생선살탕수,Fish dumpling
애탕국,Fish roe soup
납작김밥,Flat-gimbap (rice roll)
살코기납작김밥,Flat-gimbap (rice roll) with lean meat
얼갈이배추겉절이,Fresh kimchi winter cabbage
사과상추겉절이,Fresh kimchi with apple and lettuce
콩나물파채겉절이,Fresh kimchi with bean sprout and sliced spring onion
치커리겉절이,Fresh kimchi with chicory
부추겉절이,Fresh kimchi with chive
부추무침,Seasoned chive in red pepper
부추양파겉절이,Fresh kimchi with chive and onion
상추겉절이,Fresh kimchi with lettuce
상추달래겉절이,Fresh kimchi with lettuce and wild chive
배추겉절이,Fresh kimchi with napa cabbage
파채겉절이,Fresh kimchi with sliced spring onion
봄동부추겉절이,Fresh kimchi with spring cabbage and chive
참나물겉절이,Fresh kimchi with spring parsley
참나물배겉절이,Fresh kimchi with spring parsley and pear
모듬채소겉절이,Fresh vegetable kimchi
다슬기아욱국,Freshwater snail curled mallow  soup
올갱이국,Freshwater snail soup
다슬기된장국,Marsh snaill soy paste soup
우렁이된장국,River snail soy paste soup
다슬기된장국(올갱이국),Freshwater snail soy paste soup (freshwater snail soup)
우렁이된장찌개,Freshwater snail soy paste stew
우렁이두부된장국,Freshwater snail tofu soy paste soup
달걀프라이,Fried eggs
햄달걀부침,Fried eggs with ham
두부달걀부침,Fried eggs with tofu
어묵강정,Fried fish paste nuggets
어묵감자국,Fried fish paste potato soup
볼어묵국,Fried fish ball paste soup
어묵국,Fried fish cake soup
어묵맑은국,Fried fish paste soup(clear)
어묵탕,Fried fish paste soup
양념꼬치어묵,Fried fish paste with seasoning
군만두,Fried mandu (dumpling)
동태살후라이드,Fried pollack
유부배추국,Fried tofu cabbage soup
유부쑥갓맑은국,Fried tofu crown daisy soup
유부양파국,Fried tofu onion soup
유부초밥,Fried tofu rice ball
소고기유부초밥,Fried tofu rice ball with beef
참나물유부초밥,Fried tofu rice ball with spring parsley
유부새우젓국,Fried tofu salted shrimp soup
유부맑은국,Fried tofu soup
유부된장국,Fried tofu soy paste soup
유부장국,Fried tofu miso soup
유부실파국,Fried tofu spring onion  soup
유부대파국,Fried tofu spring onion soup
유부팽이국,Fried tofu winter mushroom soup
황태달걀국,Frozen and dried pollack egg soup
과일땅콩샐러드,Fruit peanut salad
과일샐러드,Fruit salad
과일샐러드(요거트드레싱),Fruit salad (yoghurt dressing)
푸실리파스타,Fusilli pasta
푸실리샐러드,Fusilli salad
푸실리샐러드(토마토소스),Fusilli salad (tomato sauce)
잔멸치김밥,Gimbap (rice roll) with baby anchovy
숙주미소장국,Green bean sprout miso paste soup
숙주맑은국,Green bean sprout soup
숙주당면국,Green bean sprout soup with glass noodles
숙주초고추장무침,Green bean sprouts seasoned with red chili-pepper paste with vinegar
쪽파무채국,Green onion and shredded radish soup
파김치,Green onion kimchi
그린샐러드,Green salad
임연수구이,Grilled atka mackerel
임연수살구이,Grilled atka mackerel(Fielet)
임연수카레구이,Grilled atka mackerel in curry
임연수엿장구이,Grilled atka mackerel in sweet soy sauce
임연수유자청구이,Grilled atka mackerel in yuzu marinade
소고기찹쌀구이,Grilled beef and sweet rice
대구구이,Grilled cod
옥수수버터구이,Grilled corn with butter
조기구이,Grilled corvina
갈치구이,Grilled cutlassfish
굴비구이,Grilled dried corvina
뱅어포구이,Grilled dried white bait
어묵구이+케첩,Grilled fish cake + ketchup
가자미구이,Grilled halibut
가자미살구이,Grilled halibut(Fielet)
가자미유자청구이,Grilled halibut in yuzu marinade
유자소스가자미구이,Grilled halibut in yuzu sauce
가자미찹쌀구이,Grilled halibut with sweet rice
고등어구이,Grilled mackerel
고등어살카레구이,Grilled mackerel in curry(Fielet)
고등어카레구이,Grilled mackerel in curry
고등어찹쌀구이,Grilled mackerel with sweet rice
미트볼구이,Grilled meat ball
돼지고기찹쌀구이(간장),Grilled pork and sweet rice (soy sauce)
가래떡구이,Grilled rice cake
연어구이,Grilled salmon
연어구이+타르타르소스,Grilled salmon + tartar sauce
김구이,Grilled salted seaweed
김구이+달래양념장,Grilled salted seaweed + wild chive marinade sauce
맛살구이,Grilled soft crab
삼치구이,Grilled spanish mackerel
삼치구이+양념장,Grilled spanish mackerel + marinade sauce
삼치레몬구이,Grilled spanish mackerel and lemon
삼치카레구이,Grilled spanish mackerel in curry
삼치양념구이,Grilled spanish mackerel in sauce
삼치엿장구이,Grilled spanish mackerel in sweet soy sauce
삼치데리야끼구이,Grilled spanish mackerel in teriyaki sauce
삼치유자청구이,Grilled spanish mackerel in yuzu marinade
단호박구이,Grilled sweet pumpkin
두부구이,Grilled tofu
두부구이+양념장,Grilled tofu + marinade sauce
두부부침+양념장,Fried tofu + marinade sauce
두부버섯스테이크,Grilled tofu and mushroom steak
두부양념구이,Grilled tofu in marinade sauce
두부데리야끼구이,Grilled tofu in teriyaki sauce(soy sauce)
두부데리야끼소스구이,Grilled tofu in teriyaki sauce
두부찹쌀구이,Grilled tofu with sweet rice
양송이치즈구이,Grilled yangsongyi mushroom with cheese
다진소고기김치볶음밥,Ground beef kimchi fried rice
갈은북어국,Ground dried pollack soup
곰취마른새우국,Groundsel dried shrimp  soup
곰취된장국,Groundsel soy paste soup
가자미미역국,Halibut seaweed soup
햄오믈렛,Ham omelette
햄파프리카볶음밥,Ham paprika fried rice
함박스테이크,Hamburger steak
하이라이스,Hashed rice
닭살하이라이스,Hashed rice with chicken
일본식소고기덮밥(규동),Japanese style beef over rice (kyudon)
닭다리케첩조림,Ketchup-braised chicken drumsticks
어묵케첩조림,Ketchup-braised fish cake
푸실리케첩조림,Ketchup-braised fusilli
미트볼파프리카케첩조림,Ketchup-braised meatballs and paprika
돼지고기케첩조림,Ketchup-braised pork
삼겹케첩조림,Ketchup-braised pork belly
비엔나케첩조림,Ketchup-braised viennasausage
소시지케첩조림,Ketchup-braised sausage
소시지케첩채소조림,Ketchup-braised sausage and vegetables
두부볼케첩조림,Ketchup-braised tofu balls
김치콩나물국,Kimchi bean sprout soup
김치어묵국,Kimchi fried fish paste soup
맑은김치어묵국,Kimchi fried fish paste soup(clear)
김치유부맑은국,Kimchi fried tofu soup
김치양파국,Kimchi onion soup
김치해물칼국수,Kimchi seafood noodle soup
김치국,Kimchi soup
김치맑은국,Kimchi soup(clear)
콩나물김치국,Kimchi soup with bean sprouts
유부김치국,Kimchi soup with fried tofu
황태김치국,Kimchi soup with frozen and dried pollack
참치김치국,Kimchi soup with tuna
김치찌개,Kimchi stew
김치두부국,Kimchi tofu soup
김치두부찌개,Kimchi tofu stew
콜라비나박김치,Kohlrabi watery kimchi
곤약어묵국,Konjac fried fish paste soup
소고기산적,Korean beef kebab
소고기완자전,Korean beef pancake with tofu
소고기동그랑땡전,Korean beef pancake with tofu and vegetables
참외샐러드,Korean melon salad
방아잎된장국,Korean mint soy paste soup
상추+쌈장,Lettuce + soy red chilli paste
상추무생채,Lettuce and daikon salad
상추배생채,Lettuce and pear salad
양상추사과샐러드,Lettuce apple salad
양상추과일샐러드,Lettuce fruit salad
양상추샐러드,Lettuce salad
양상추샐러드(발사믹드레싱),Lettuce salad (balsamic vinegar dressing)
양상추샐러드(키위드레싱),Lettuce salad (kiwi dressing)
양상추샐러드(레몬드레싱),Lettuce salad (lemon dressing)
양상추샐러드(오리엔탈드레싱),Lettuce salad (oriental dressing)
양상추샐러드(참깨드레싱),Lettuce salad (sesame dressing)
양상추샐러드(사우전아일랜드드레싱),Lettuce salad (thousand island dressing)
양상추유자청샐러드,Lettuce salad in yuzu marinade
양상추딸기샐러드,Lettuce strawberry salad
양상추요거트샐러드,Lettuce yoghurt salad
상추쌈,Lettuce-wraps
쌈채소,Lettuce and carrot and cucumber-wraps
추어탕,Loach soup
연근사과샐러드,Lotus root and apple salad
연근흑임자샐러드,Lotus root and black sesame salad
연근어묵,Lotus root fish cake
연근햄버거스테이크,Lotus root hamburg steak
연근샐러드(참깨소스),Lotus root salad (sesame sauce)
연근마요무침,Lotus root seasoned with mayonnaise
마카로니채소샐러드,Macaroni and vegetable salad
마카로니채소샐러드(마요네즈),Macaroni and vegetable salad (mayonnaise)
마카로니채소샐러드(토마토소스),Macaroni and vegetable salad (tomato sauce)
마카로니콘샐러드,Macaroni corn salad
마카로니오이샐러드,Macaroni cucumber salad
마카로니샐러드,Macaroni salad
매생이홍합국,Maesaengyi mussel soup
매생이떡국,Maesaengyi rice cake soup
매생이국,Maesaengyi soup
만두닭개장,Mandu (dumpling) chicken stew
만두순두부찌개,Mandu (dumpling) unpressed tofu stew
만두국,Mandu (dumpling) soup
바지락살근대된장국,Manila clam beet soybean paste soup
바지락부추국,Manila clam korean-leeks soup
마파두부,Mapa tofu
안매운마파두부,Mapa tofu (mild flavor)
마파두부덮밥,Mapa tofu rice bowl
안매운마파두부덮밥,Mapa tofu rice bowl (mild flavor)
마파배추덮밥,Mapa tofu rice bowl with napa cabbage
닭주물럭,Marinated chicken
매쉬드포테이토,Mashed potato
미트볼스파게티,Meat ball spaghetti
난자완스,Meat dumpling
완자탕,Meat dumpling soup
멕시칸샐러드,Mexican salad
순한육개장,Mild beef stew
안매운육개장,Non spicy beef stew
안매운닭개장,Mild chicken stew
순한김치국,Mild kimchi soup
안매운김치찌개,Mild kimchi stew
순한김치두부국,Mild kimchi tofu soup
안매운돼지고기김치찌개,Mild pork kimchi stew
순한고추장찌개,Mild red chilli paste stew
안매운부대찌개,Mild sausage stew
백짬뽕국,White seafood noodle soup
순한백짬뽕국,Mild seafood noodle soup
안매운순두부찌개,Mild unpressed tofu stew
안매운콩비지찌개,Mild soy puree stew
안매운참치김치찌개,Mild tuna kimchi stew
안매운참치찌개,Mild tuna stew
다진소고기콩나물국,Minced beef bean sprout soup
미니메밀국수,Mini chilled buckwheat noodles
미니김치우동,Mini kimchi udon (white wheat noodles)
미니들깨칼국수,Mini perilla seed noodle soup
미니돈까스,Mini pork cutlet
미니해물칼국수,Mini seafood noodle soup
미니게살된장우동,Mini soy paste udon (white wheat noodles) with soft crab
미니새우튀김우동,Mini udon (white wheat noodles) with deep-fried shrimp
미니어묵우동,Mini udon (white wheat noodles) with fish cake
미니맛살우동,Mini udon (white wheat noodles) with soft crab
미니유부우동,Mini udon with fried tofu
조랭이떡미역국,Mini-ball rice cake seaweed soup
조랭이떡국,Mini-ball rice cake soup
꼬마김밥,Petite gimbap (rice roll)
미니김밥,Mini-gimbap (rice roll)
물만두,Mini-mandu (dumpling)
물만두+간장,Mini-mandu (dumpling) + soy sauce
물만두국(가공만두),Mini-mandu (dumpling) soup (processed mandu)
미니칼국수,Mini-noodle soup
새알미역국,Mini-rice cake seaweed soup
새알떡국,Mini-rice cake soup
미니우동,Mini-udon (white wheat noodles)
미소국,Miso soup
미소된장국,Miso paste soup
미소장국,Miso paste broth
새싹메밀비빔국수,Mixed buckwheat noodles with sprouts
비빔국수,Mixed noodles
오이비빔국수,Mixed noodles with cucumber
오색채소비빔면,Mixed noodles with five-color vegetables
깻잎비빔국수,Mixed noodles with perilla leaves
채소비빔소면,Mixed noodles with vegetables
비빔쌀국수,Mixed rice noodles
쑥참치전,Mugwort and tuna pancake
쑥완자탕,Mugwort meat dumpling soup
쑥국,Mugwort soup
쑥된장국,Mugwort soy paste soup
완두콩짜장밥,Mung bean black soy rice
탕평채,Mung bean jelly salad
온청포묵국,Mung bean jelly soup
버섯소고기국,Mushroom beef soup
버섯육개장,Mushroom beef stew
버섯부추국,Mushroom chive soup
버섯탕수,Mushroom dumpling
버섯달걀탕,Mushroom egg soup
버섯들깨국,Mushroom perilla seed  soup
버섯들깨탕,Mushroom perilla seed soup
버섯무국,Mushroom radish soup
버섯덮밥,Mushroom rice bowl
버섯샤브샤브,Mushroom shabu-shabu
버섯맑은국,Mushroom soup
버섯당면국,Mushroom soup with glass noodles
버섯된장국,Mushroom soy paste soup
버섯개장,Mushroom stew in soy sauce
버섯찌개,Mushroom stew
버섯채소전골,Mushroom vegetable stew
홍합무국,Mussel daikon soup
홍합미역국,Mussel seaweed soup
홍합살미역국,Mussel(shell-less) seaweed soup
홍합국,Mussel(shell-less) soup
홍합살맑은국,Mussel soup(clear)
홍합탕,Mussel soup
갓김치,Mustard leave and stem kimchi
배추게맛살샐러드,Napa cabbage and soft crab salad
배추김치,Napa cabbage kimchi
배추들깨국,Napa cabbage perilla seed  soup
배추국,Napa cabbage soup
배추맑은국,Napa cabbage soup(clear)
배추당면국,Napa cabbage soup with glass noodles
배추된장국,Napa cabbage soy paste soup
너비아니구이,Neobiani
너비아니샐러드,Neobiani salad
안매운김치국,Non-spicy kimchi soup
안매운김치돼지고기볶음,Non-spicy stir-fried pork and kimchi
안매운김치볶음밥,Non-spicy stir-fried rice with kimchi
칼국수,Noodle soup
바지락칼국수,Noodle soup with clams
국수,Noodles
두유냉국수,Noodles in cold soy milk
콩국수,Noodles in cold soy soup
어탕국수,Noodles in fish soup
어묵국수,Noodles in fried fish paste soup
낙지연포탕,Octopus soup
오믈렛,Omelette
오므라이스,Omelette rice
양파초절임,Onion in vinegar marinade
양파당면국,Onion soup with glass noodles
오리엔탈비빔쌀국수,Oriental mixed rice noodles
사골떡국,Ox bone rice cake soup
설렁탕+소면,Ox bone soup + plain noodles
사골당면국,Ox bone soup with glass noodles
굴달걀국,Oyster egg soup
느타리배추국,Oyster mushroom cabbage soup
느타리버섯국,Oyster mushroom soup
느타리버섯맑은국,Oyster mushroom soup(clear)
느타리버섯두부맑은국,Oyster mushroom tofu soup (clear)
소고기굴소스조림,Oyster sauce-braised beef
굴미역국,Oyster seaweed soup
굴국,Oyster soup
굴두부국,Oyster tofu soup
김치베이컨전,Pan-fried bacon and kimchi
시금치베이컨전,Pan-fried bacon and spinach
소고기육전,Pan-fried beef
매생이육전,Pan-fried beef and maesaengyi
부추전,Pan-fried chive
(달걀제외)부추전,Pan-fried chive (without eggs)
부추깻잎전,Pan-fried chive with perilla leaves
브로콜리조갯살전,Pan-fried clam and broccoli
꼬막파전,Pan-fried cockle and spring onion
대구전,Pan-fried cod
대구살쑥갓전,Pan-fried cod and crown daisy
옥수수전,Pan-fried corn
당근옥수수콘전,Pan-fried corn and carrot
물파래옥수수전,Pan-fried corn and sea lettuce
옥수수맛살전,Pan-fried corn and soft crab
옥수수채소전,Pan-fried corn and vegetables
콘채소전,Pan-fried corn(canned) and vegetables
옥수수치즈전,Pan-fried corn with cheese
콘치즈전,Pan-fried corn(canned) with cheese
맛살전,Pan-fried crap
오징어부추전,Pan-fried cuttlefish and chive
오징어김치전,Pan-fried cuttlefish and kimchi
오징어완자전,Pan-fried cuttlefish dumpling
오징어완자(수제),Pan-fried cuttlefish dumpling (homestyle)
오징어치즈전,Pan-fried cuttlefish with cheese
건파래전,Pan-fried dried sea lettuce
아욱건새우전,Pan-fried dried shrimp and curled mallow
프랑크소시지전,Pan-fried frankfurter
햄참치채소전,Pan-fried ham tuna and vegetables
김치전,Pan-fried kimchi
안매운김치전,Pan-fried kimchi (mild)
다진돼지고기김치전,Pan-fried kimchi and minced pork
가래떡김치전,Pan-fried kimchi and rice cake
콩비지김치전,Pan-fried kimchi in soy puree
연근전,Pan-fried lotus root
매생이전,Pan-fried maesaengyi
깻잎육전,Pan-fried meat and perilla leaf
동그랑땡전,Pan-fried meat ball
완자전,Pan-fried meat dumpling
쑥전,Pan-fried mugwort
녹두전,Pan-fried mung bean
김치녹두전,Pan-fried mung bean and kimchi
모듬버섯전,Pan-fried mushroom
홍합살부추전,Pan-fried mussel and chive
배추전,Pan-fried napa cabbage
배추장떡,Pan-fried napa cabbage in red chilli paste
양파어묵전,Pan-fried onion and fish cake
분홍소시지전,Pan-fried pink sausage
동태살전,Pan-fried pollack(Fielet)
동태전,Pan-fried pollack
동태포전,Pan-fried pollack(sliced)
동태살쑥갓전,Pan-fried pollack and crown daisy
깻잎동태포전,Pan-fried pollack with perilla leaves
감자전,Pan-fried potato
감자부추전,Pan-fried potato and chive
옥수수감자전,Pan-fried potato and corn
연근감자전,Pan-fried potato and lotus root
감자치즈전,Pan-fried potato with cheese
깻잎감자전,Pan-fried potato with perilla leaves
표고버섯달걀전,Pan-fried pyogo mushroom with eggs
새송이버섯전,Pan-fried saesongyi mushroom
소시지전,Pan-fried sausage
파래전,Pan-fried sea lettuce
해물부추전,Pan-fried seafood and chive
해산물부추전,Pan-fried seafood(+shrimp) and chive
해물김치전,Pan-fried seafood and kimchi
봄동해물전,Pan-fried seafood and spring cabbage
해물파전,Pan-fried seafood and spring onion
해물완자전,Pan-fried seafood dumpling
다시마감자채전,Pan-fried brown kelp and potato
냉이전,Pan-fried shepherd's purse
감자채전,Pan-fried shredded potato
새우살파래전,Pan-fried shrimp and sea lettuce
새우채소전,Pan-fried shrimp and vegetables
맛살꼬지전,Pan-fried soft crab skewers
게맛살달걀부침,Pan-fried soft crab with eggs
스팸깻잎전,Pan-fried spam with perilla leaves
메밀봄동전,Pan-fried spring cabbage with buckwheat flour
참나물전,Pan-fried spring parsley
고구마완자전,Pan-fried sweet potato dumpling
단호박전,Pan-fried sweet pumpkin
두부당근완자전,Pan-fried tofu and carrot dumpling
두부버섯완자전,Pan-fried tofu and mushroom dumpling
카레두부버섯전,Pan-fried tofu and mushroom in curry
두부미역전,Pan-fried tofu and seaweed
시금치두부전,Pan-fried tofu and spinach
두부채소전,Pan-fried tofu and vegetables
두부달걀전,Pan-fried tofu with eggs
부추참치전,Pan-fried tuna and chive
참치옥수수전,Pan-fried tuna and corn
피망참치전,Pan-fried tuna and paprika
참치치즈전,Pan-fried tuna with cheese
깻잎참치전,Pan-fried tuna with perilla leaves(rolled)
참치깻잎전,Pan-fried tuna with perilla leaves
채소전,Pan-fried vegetables
오징어채소완자전,Pan-fried vegetables and cuttlefish dumpling
으깬두부채소전,Pan-fried vegetables with crushed tofu
어묵채소전,Pan-fried vegetables with fried fish paste
연근채소전,Pan-fried vegetables with lotus root
쑥채소전,Pan-fried vegetables with mugwort
버섯채소전,Pan-fried vegetables with mushroom
느타리버섯채소전,Pan-fried vegetables with oyster mushroom
맛살채소전,Pan-fried vegetables with soft crab(skewer)
채소맛살전,Pan-fried vegetables with soft crab
단호박채소전,Pan-fried vegetables with sweet pumpkin
참치채소전,Pan-fried vegetables with tuna
씻은김치전,Pan-fried washed kimchi
흰살생선전,Pan-fried white fish
달래전,Pan-fried wild chive
팽이버섯전,Pan-fried winter mushroom
팽이버섯카레전,Pan-fried winter mushroom in curry
팽이버섯달걀전,Pan-fried winter mushroom with eggs
애호박전,Pan-fried young pumpkin
호박전,Pan-fried pumpkin
소고기육전(찹쌀가루),Pan-grilled egg-coated beef (sweet rice)
파프리카콘샐러드,Paprika corn salad
파프리카유부초밥,Paprika rice ball with fried tofu
파프리카스틱,Paprika stick
브로콜리숙회,Parboiled broccoli
브로콜리숙회(흑임자소스),Parboiled broccoli (black sesame sauce)
브로콜리숙회(들깨소스),Parboiled broccoli (perilla seed sauce)
브로콜리숙회+흑임자소스,Parboiled broccoli + black sesame sauce
브로콜리숙회+들깨소스,Parboiled broccoli + perilla seed sauce
브로콜리숙회+초고추장,Parboiled broccoli + red chilli paste with vinegar
오징어숙회,Parboiled cuttlefish
오징어숙회+유자소스,Parboiled cuttlefish + yuzu sauce
오징어브로콜리숙회,Parboiled cuttlefish and broccoli
주꾸미숙회,Parboiled jukkumi
배오이생채,Pear and cucumber salad
깻잎순나물,Perilla leaf
깻잎지,Perilla leaf in soy sauce
깻잎김치,Perilla leaf kimchi
깻잎국,Perilla leaf soup
깻잎된장찌개,Perilla leaf soy paste stew
들깨우거지국,Perilla seed  soup with dried radish leaves
우거지들깨국,Perilla seed  soup with dried cabbage leaves
들깨부추양파국,Perilla seed korean-leek onion soup
들깨버섯국,Perilla seed mushroom soup
들깨칼국수,Perilla seed noodle soup
들깨감자국,Perilla seed potato soup
들깨표고국,Perilla seed pyogo mushroom soup
들깨무국,Perilla seed radish soup
들깨미역국,Perilla seed seaweed soup
들깨무채국,Perilla seed shredded radish soup
들깨순두부백탕,Perilla seed unpressed tofu soup
들깨탕,Perilla seed soup
들깨두부국,Perilla seed tofu soup
들깨채소국,Perilla seed vegetable soup
호박고지들깨탕,Perilla seed zucchini soup
비트초절이,Pickled beet
오이피클,Pickled cucumber
단무지,Pickled Korean style daikon
무초절임,Pickled daikon
파프리카피클,Pickled paprika
비름나물,Pigweed
파인콘샐러드,Pineapple corn salad
파인애플탕수육+소스,Pineapple dumpling + sauce
자두샐러드,Plum salad
동태살쑥갓국,Pollack crown daisy soup
동태살무국,Pollack daikon soup
코다리강정,Pollack nuggets
간장코다리강정,Pollack nuggets in soy sauce
순살코다리강정,Pollack nuggets without bones
동태맑은국,Pollack soup
동태살국,Pollack(Fielet) soup
동태찌개,Pollack stew
맑은동태찌개,Pollack stew(clear)
동태살애호박국,Pollack zucchini  soup
총각김치,Ponytail radish kimchi
돼지고기피망케첩볶음,Pork and bell peppers stir-fried with ketchup
돼지고기양배추덮밥,Pork and cabbage over rice
돼지고기채소덮밥,Pork and vegetables over rice
돼지고기짜장채소볶음,Pork and vegetables stir-fried with black bean paste
돼지고기짜장밥,Pork black bean paste rice
돼지사골국,Pork bone soup
팽이버섯돼지불고기,Pork bulgogi with enoki mushrooms
돼지고기김치불고기,Pork bulgogi with kimchi
메추리알폭찹,Pork chops with quail eggs
돼지고기카레볶음밥,Pork curry fried rice
돈까스,Pork cutlet
돈까스+소스,Pork cutlet + sauce
등심돈까스+소스,Pork cutlet+sauce( sirloin)
돼지고기김치비빔밥,Pork kimchi bibimbap
돼지고기김치국,Pork kimchi soup
돼지고기김치찌개,Pork kimchi stew
돼지고기마파두부,Pork mapa tofu
돼지고기버섯카레라이스,Pork mushroom curry rice
돼지고기강정+소스,Pork nuggets + sauce
돼지고기양파찌개,Pork onion stew
돼지고기고추장찌개,Pork pepper paste stew
돼지고기잡채덮밥,Pork rice bowl with stir-fried vegetables
목살김치국,Pork shoulder kimchi soup
등심탕수육+소스,Pork sirloin dumpling + sauce
돼지고기된장찌개,Pork soy sauce stew
목살찌개,Pork stew
돼지고기짜장볶음,Pork stir-fried with black bean paste
돼지고기카레볶음,Pork stir-fried with curry
돼지고기마늘간장볶음,Pork stir-fried with garlic and soy sauce
돼지고기굴소스덮밥,Pork stir-fried with oyster sauce over rice
돼지고기간장볶음,Pork stir-fried with soy sauce
돼지고기안심굴소스볶음밥,Pork tenderloin fried rice made with oyster sauce
돼지고기안심굴소스볶음,Pork tenderloin stir-fried with oyster sauce
돼지고기연근채소전,"Pork, lotus root, and vegetable pancake"
돼지고기찹스테이크,Porkchop steak
감자칩튀김,Potato chips
감자부추국,Potato chive soup
감자고로케,Potato croquette
감자옹심이국,Potato dough soup
감자달걀국,Potato egg soup
감자그라탕,Potato gratin
감자양파국,Potato onion soup
감자고추장찌개,Potato pepper paste stew
감자건포도샐러드,Potato raisin salad
감자샐러드,Potato salad
감자다시마국,Potato brown kelp soup
감자미역국,Potato seaweed soup
감자국,Potato soup
감자채맑은국,Sliced potato soup
감자탕,Pork back-bone Stew
감자된장국,Potato soy paste soup
감자맑은된장국,Potato soy paste soup(clear)
감자된장찌개,Potato soy paste stew
웨지감자,Potato wedge
감자채요거트샐러드,Potato yoghurt salad
감자애호박국,Potato zucchini  soup
감자호박국,Potato zucchini soup
호박칼제비국,Pumpkin noodle soup
메추리알마요네즈샐러드,Quail egg mayonnaise salad
메추리알샐러드,Quail egg salad
깍두기,Radish kimchi cubes
무들깨국,Radish perilla seed soup
무국,Radish soup
동치미,Radish watery kimchi
팥죽,Red bean porridge
